path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\crappy\inout\waveshare_ad_da.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\custom_objects\custom_camera\custom_camera_metadata.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\crappy\blocks\synchronizer.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\custom_objects\custom_camera\custom_camera_settings.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\crappy\actuator\fake_dc_motor.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\crappy\inout\labjack_t7.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\inout\ft232h\mcp9600.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\crappy\tool\bindings\comedi_bind.py,W0401, wildcard-import,1,1, , , , , , , , 
src\crappy\blocks\client_server.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
src\crappy\camera\gstreamer_camera_v4l2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\tool\camera_config\camera_config.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\inout\mcp9600.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\blocks\camera.py,R0915, too-many-statements,2,1, , , , , , , , 
src\crappy\blocks\meta_block\block.py,R0915, too-many-statements,2,1, , , , , , , , 
src\crappy\inout\ads1115.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\blocks\ioblock.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\tool\image_processing\video_extenso\tracker.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\custom_objects\custom_camera\custom_camera_software_roi.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\crappy\tool\image_processing\video_extenso\video_extenso.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\camera\gstreamer_camera_basic.py,R0915, too-many-statements,1,1, , , , , , , , 
examples\custom_objects\custom_camera\custom_camera_basic.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\crappy\inout\ft232h\waveshare_ad_da.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\actuator\pololu_tic.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\blocks\camera_processes\record.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\crappy\tool\ft232h\ft232h.py,C0302, too-many-lines,1,1, , , , , , , , 
src\crappy\inout\meta_inout\inout.py,R0912, too-many-branches,2,1, , , , , , , , 
src\crappy\blocks\multiplexer.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\camera\ximea_xiapi.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\tool\camera_config\config_tools\histogram_process.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\crappy\inout\sim868.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\tool\ft232h\ft232h_server.py,W0706, try-except-raise,2,1, , , , , , , , 
examples\custom_objects\custom_camera\custom_camera_hardware_trigger.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\crappy\tool\image_processing\dic_ve.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\inout\pijuice_hat.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\tool\image_processing\gpu_correl.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\actuator\fake_stepper_motor.py,R0915, too-many-statements,1,1, , , , , , , , 
src\crappy\tool\bindings\pyspcm.py,W0401, wildcard-import,1,1, , , , , , , , 
src\crappy\tool\ft232h\usb_server.py,R0912, too-many-branches,1,1, , , , , , , , 
src\crappy\tool\camera_config\camera_config_boxes.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\crappy\tool\image_processing\fields.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\crappy\tool\camera_config\config_tools\box.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\crappy\inout\labjack_t7.py,R0915, too-many-statements,1,0, , , , , , , , 
src\crappy\blocks\ucontroller.py,R0912, too-many-branches,3,0, , , , , , , , 
src\crappy\blocks\client_server.py,R0912, too-many-branches,1,0, , , , , , , , 
src\crappy\camera\gstreamer_camera_v4l2.py,R0912, too-many-branches,2,0, , , , , , , , 
src\crappy\camera\gstreamer_camera_v4l2.py,W0107,unnecessary-pass,1,0, , , , , , , , 
src\crappy\tool\camera_config\camera_config.py,C0302, too-many-lines,1,0, , , , , , , , 
src\crappy\inout\mcp9600.py,C0325, superfluous-parens,1,0, , , , , , , , 
src\crappy\blocks\meta_block\block.py,C0302, too-many-lines,1,0, , , , , , , , 
src\crappy\blocks\meta_block\block.py,R0912, too-many-branches,4,0, , , , , , , , 
src\crappy\blocks\meta_block\block.py,W0718, broad-exception-caught,6,0, , , , , , , , 
src\crappy\blocks\ioblock.py,R0912, too-many-branches,1,0, , , , , , , , 
src\crappy\tool\image_processing\video_extenso\video_extenso.py,R0912, too-many-branches,1,0, , , , , , , , 
src\crappy\camera\gstreamer_camera_basic.py,R0912, too-many-branches,2,0, , , , , , , , 
src\crappy\camera\gstreamer_camera_basic.py,W0107,unnecessary-pass,1,0, , , , , , , , 
src\crappy\actuator\pololu_tic.py,C0302, too-many-lines,1,0, , , , , , , , 
src\crappy\actuator\pololu_tic.py,R0912, too-many-branches,1,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h.py,C0325, superfluous-parens,3,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h.py,R0912, too-many-branches,3,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h.py,R0915, too-many-statements,4,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h.py,W0706, try-except-raise,3,0, , , , , , , , 
src\crappy\camera\ximea_xiapi.py,R0915, too-many-statements,1,0, , , , , , , , 
src\crappy\inout\sim868.py,R0912, too-many-branches,2,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h_server.py,R0912, too-many-branches,3,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h_server.py,R0915, too-many-statements,3,0, , , , , , , , 
src\crappy\tool\ft232h\ft232h_server.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
src\crappy\tool\image_processing\dic_ve.py,R0915, too-many-statements,1,0, , , , , , , , 
src\crappy\inout\pijuice_hat.py,R0915, too-many-statements,1,0, , , , , , , , 
src\crappy\actuator\fake_stepper_motor.py,R0912, too-many-branches,1,0, , , , , , , , 
util\set_ft232h_serial_nr.py,R0801, duplicate-code,200,0, , , , , , , , 
src\crappy\tool\ft232h\usb_server.py,R0911, too-many-return-statements,1,0, , , , , , , , 
