path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
ELiDE\ELiDE\kivygarden\texturestack\__init__.py,W0718, broad-exception-caught,1,1, , , , , , , , 
LiSE\LiSE\engine.py,R0911, too-many-return-statements,1,1, , , , , , , , 
ELiDE\ELiDE\card.py,R0912, too-many-branches,1,1, , , , , , , , 
LiSE\LiSE\query.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
ELiDE\ELiDE\pawnspot.py,C0301, line-too-long,1,1, , , , , , , , 
LiSE\LiSE\util.py,C0302, too-many-lines,1,1, , , , , , , , 
ELiDE\ELiDE\timestream.py,R0912, too-many-branches,1,1, , , , , , , , 
LiSE\LiSE\proxy.py,W0718, broad-exception-caught,2,1, , , , , , , , 
LiSE\LiSE\allegedb\graph.py,C0302, too-many-lines,1,1, , , , , , , , 
ELiDE\ELiDE\gen.py,C0301, line-too-long,1,1, , , , , , , , 
ELiDE\ELiDE\graph\board.py,W0125,using-constant-test,1,1, , , , , , , , 
LiSE\LiSE\allegedb\query.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
ELiDE\ELiDE\grid\board.py,R0912, too-many-branches,1,1, , , , , , , , 
ELiDE\ELiDE\calendar.py,R0912, too-many-branches,2,1, , , , , , , , 
LiSE\LiSE\cache.py,R0915, too-many-statements,2,1, , , , , , , , 
LiSE\LiSE\node.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
LiSE\LiSE\examples\college.py,C0301, line-too-long,1,1, , , , , , , , 
ELiDE\ELiDE\dialog.py,R0912, too-many-branches,1,1, , , , , , , , 
ELiDE\ELiDE\examples\awareness.py,R0915, too-many-statements,1,1, , , , , , , , 
LiSE\LiSE\allegedb\cache.py,R0911, too-many-return-statements,1,1, , , , , , , , 
ELiDE\ELiDE\graph\spot.py,R0915, too-many-statements,1,1, , , , , , , , 
LiSE\LiSE\examples\wolfsheep.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
LiSE\LiSE\examples\kobold.py,R0915, too-many-statements,1,1, , , , , , , , 
ELiDE\ELiDE\game.py,C0301, line-too-long,2,1, , , , , , , , 
LiSE\LiSE\allegedb\__init__.py,C0302, too-many-lines,1,1, , , , , , , , 
ELiDE\ELiDE\imagestackproxy.py,W0718, broad-exception-caught,1,1, , , , , , , , 
LiSE\LiSE\allegedb\window.py,R0915, too-many-statements,1,1, , , , , , , , 
LiSE\LiSE\character.py,C0302, too-many-lines,1,1, , , , , , , , 
LiSE\LiSE\exc.py,W0107,unnecessary-pass,2,1, , , , , , , , 
LiSE\LiSE\handle.py,R0915, too-many-statements,1,1, , , , , , , , 
LiSE\LiSE\engine.py,C0301, line-too-long,1,0, , , , , , , , 
LiSE\LiSE\engine.py,C0302, too-many-lines,1,0, , , , , , , , 
LiSE\LiSE\engine.py,R0912, too-many-branches,8,0, , , , , , , , 
LiSE\LiSE\engine.py,R0915, too-many-statements,7,0, , , , , , , , 
LiSE\LiSE\engine.py,R1702, too-many-nested-blocks,3,0, , , , , , , , 
ELiDE\ELiDE\card.py,C0302, too-many-lines,1,0, , , , , , , , 
ELiDE\ELiDE\card.py,W0107,unnecessary-pass,1,0, , , , , , , , 
LiSE\LiSE\query.py,C0302, too-many-lines,1,0, , , , , , , , 
LiSE\LiSE\query.py,R0911, too-many-return-statements,2,0, , , , , , , , 
LiSE\LiSE\query.py,R0912, too-many-branches,5,0, , , , , , , , 
LiSE\LiSE\query.py,W0718, broad-exception-caught,2,0, , , , , , , , 
ELiDE\ELiDE\pawnspot.py,R0912, too-many-branches,3,0, , , , , , , , 
ELiDE\ELiDE\pawnspot.py,R0915, too-many-statements,1,0, , , , , , , , 
ELiDE\ELiDE\pawnspot.py,W0718, broad-exception-caught,3,0, , , , , , , , 
LiSE\LiSE\proxy.py,C0302, too-many-lines,1,0, , , , , , , , 
LiSE\LiSE\proxy.py,R0912, too-many-branches,4,0, , , , , , , , 
LiSE\LiSE\proxy.py,R0915, too-many-statements,4,0, , , , , , , , 
LiSE\LiSE\allegedb\graph.py,C0301, line-too-long,1,0, , , , , , , , 
ELiDE\ELiDE\graph\board.py,C0302, too-many-lines,1,0, , , , , , , , 
ELiDE\ELiDE\graph\board.py,R0912, too-many-branches,3,0, , , , , , , , 
ELiDE\ELiDE\graph\board.py,R0915, too-many-statements,1,0, , , , , , , , 
ELiDE\ELiDE\graph\board.py,W0107,unnecessary-pass,1,0, , , , , , , , 
LiSE\LiSE\allegedb\query.py,C0302, too-many-lines,1,0, , , , , , , , 
LiSE\LiSE\allegedb\query.py,R0912, too-many-branches,1,0, , , , , , , , 
LiSE\LiSE\allegedb\query.py,R0915, too-many-statements,1,0, , , , , , , , 
LiSE\LiSE\allegedb\query.py,W0718, broad-exception-caught,3,0, , , , , , , , 
LiSE\LiSE\cache.py,R0912, too-many-branches,3,0, , , , , , , , 
LiSE\LiSE\examples\college.py,R0915, too-many-statements,1,0, , , , , , , , 
LiSE\LiSE\allegedb\cache.py,C0302, too-many-lines,1,0, , , , , , , , 
LiSE\LiSE\allegedb\cache.py,R0912, too-many-branches,8,0, , , , , , , , 
LiSE\LiSE\allegedb\cache.py,R0915, too-many-statements,3,0, , , , , , , , 
LiSE\LiSE\allegedb\cache.py,R1702, too-many-nested-blocks,13,0, , , , , , , , 
LiSE\LiSE\examples\wolfsheep.py,R0915, too-many-statements,1,0, , , , , , , , 
LiSE\LiSE\allegedb\__init__.py,R0912, too-many-branches,10,0, , , , , , , , 
LiSE\LiSE\allegedb\__init__.py,R0915, too-many-statements,6,0, , , , , , , , 
LiSE\LiSE\allegedb\__init__.py,R0916, too-many-boolean-expressions,6,0, , , , , , , , 
LiSE\LiSE\allegedb\__init__.py,R1702, too-many-nested-blocks,5,0, , , , , , , , 
LiSE\LiSE\allegedb\window.py,R0911, too-many-return-statements,1,0, , , , , , , , 
LiSE\LiSE\allegedb\window.py,R0912, too-many-branches,2,0, , , , , , , , 
ELiDE\ELiDE\graph\arrow.py,R0915, too-many-statements,3,0, , , , , , , , 
LiSE\LiSE\handle.py,C0302, too-many-lines,1,0, , , , , , , , 
LiSE\LiSE\handle.py,R0912, too-many-branches,1,0, , , , , , , , 
