path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
mrp_direct_line\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_industrial_cost_report\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
product_force_uom\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_force_parent\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
inventory_bom_extract_xls\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
order_bom_explode_report\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
order_bom_explode_report\report\mrp_parser.py,R0912, too-many-branches,2,1, , , , , , , , 
auto_bom_tx_report\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
invoiced_bom_xls_check\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_order_utility\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_parent_code\parent.py,R0912, too-many-branches,1,1, , , , , , , , 
mrp_total_report\models\total_report.py,R0915, too-many-statements,1,1, , , , , , , , 
order_bom_explode_report\wizard\import_oven.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
auto_bom_tx_report\importation.py,R0912, too-many-branches,1,1, , , , , , , , 
bom_parent_code\parent_csv.py,R0915, too-many-statements,1,1, , , , , , , , 
lavoration_cl_sl_mrp\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_industrial_cost_report\report\parser.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
bom_pipe_autocode\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_placeholder_check\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
mrp_cut_purchase\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
halfbom_replace_component\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
order_bom\report\status_parser.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
order_bom_explode_report\report\eliminare\mrp_parser.py,R0912, too-many-branches,1,1, , , , , , , , 
order_bom_explode_report\report\oven_report.py,C0325, superfluous-parens,1,1, , , , , , , , 
mrp_direct_line_printer\xmrlpc_printer.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
temp_script_company2\inventory.py,C0301, line-too-long,1,1, , , , , , , , 
bom_parent_code\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
order_bom_explode_report\report\originali\mrp_status_hw_component_parser.py,R0915, too-many-statements,1,1, , , , , , , , 
purchase_explode_from_bom\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
mrp_direct_line_printer\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_parent_code\parent (copia).py,R0915, too-many-statements,1,1, , , , , , , , 
mrp_total_report\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
auto_bom_pipe_report\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_migration\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_type\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
lavoration_cl_sl\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
mrp_direct_line\direct.py,R0915, too-many-statements,1,1, , , , , , , , 
auto_bom_component_report\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_industrial_cost_report\wizard\open_report_wizard.py,R0915, too-many-statements,2,1, , , , , , , , 
order_bom_explode_report\report\explode_parser.py,C0302, too-many-lines,1,1, , , , , , , , 
auto_bom_oc_explode\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_cost_evaluation\agent\export.py,C0302, too-many-lines,1,1, , , , , , , , 
temp_script_company2\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
order_bom\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
temp_script\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
mrp_cut_lavoration\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_obsolete_line\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_placeholder_check\wizard\report_wizard.py,R0915, too-many-statements,1,1, , , , , , , , 
bom_cost_evaluation\cost.py,R0912, too-many-branches,1,1, , , , , , , , 
product_pipe_purchase\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_industrial_cost_report_export\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
csv_setup_inventory_delta\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_parent_product\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_half_worked\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
auto_bom_tx_report\auto.py,R0912, too-many-branches,1,1, , , , , , , , 
bom_category\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
bom_check_problem_wizard\wizard\bom_report_wizard.py,R0912, too-many-branches,1,1, , , , , , , , 
