path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
production_load_stock\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_stats_auto_mail\report\eliminare\extract_report_xlsx (seconda copia).py,R0915, too-many-statements,1,1, , , , , , , , 
production_accounting_external\wizard\create_production.py,R0915, too-many-statements,1,1, , , , , , , , 
production_delivered\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_family_stock_status\xls_status.py,R0915, too-many-statements,1,1, , , , , , , , 
production_note\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_family_many\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_accounting_external\wizard\assign_production.py,C0301, line-too-long,1,1, , , , , , , , 
production_stats_wizard\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_stats_auto_mail\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_stats_auto_mail\report\extract_report_xlsx.py,C0302, too-many-lines,1,1, , , , , , , , 
close_residual_order_unlink\unlink_mrp.py,C0325, superfluous-parens,1,1, , , , , , , , 
procurement_order_report\wizard\wizard_procurement_report.py,R0915, too-many-statements,1,1, , , , , , , , 
production_working_bom\wizard\wizard_report_status.py,C0301, line-too-long,1,1, , , , , , , , 
hr_workhour\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_accounting_external\report\production_parser.py,R0911, too-many-return-statements,1,1, , , , , , , , 
production_product_child_move\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_working_bom\report\__implement__\status_work.py,R0912, too-many-branches,1,1, , , , , , , , 
working_bom\bom.py,C0301, line-too-long,1,1, , , , , , , , 
mrp_future_used_material\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
close_residual_order_unlink\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
fsc_management\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
accounting_sync\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
accounting_sync\sync.py,R0912, too-many-branches,1,1, , , , , , , , 
production_accounting_external_total\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_family\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_family_stock_status\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_grid_report\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
production_accounting_external_stats\__openerp__.py,W0104, pointless-statement,1,1, , , , , , , , 
