path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
cogs\ris.py,C0301, line-too-long,2,1, , , , , , , , 
cogs\lastfm.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\music.py,C0301, line-too-long,1,1, , , , , , , , 
utils\yt_funcs.py,C0301, line-too-long,2,1, , , , , , , , 
cogs\osrs.py,C0325, superfluous-parens,1,1, , , , , , , , 
cogs\poll.py,C0301, line-too-long,2,1, , , , , , , , 
cogs\ip.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\trump.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\covid.py,C0301, line-too-long,2,1, , , , , , , , 
cogs\meme.py,C0301, line-too-long,2,1, , , , , , , , 
cogs\regex.py,C0301, line-too-long,1,1, , , , , , , , 
bot.py,W0718, broad-exception-caught,1,1, , , , , , , , 
cogs\eval.py,C0301, line-too-long,1,1, , , , , , , , 
utils\aiohttp_wrap.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\yt.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\news.py,C0301, line-too-long,2,1, , , , , , , , 
cogs\timer.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\mod.py,W0718, broad-exception-caught,2,1, , , , , , , , 
cogs\ufact.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\comics.py,C0301, line-too-long,1,1, , , , , , , , 
cogs\pyval.py,W0718, broad-exception-caught,2,1, , , , , , , , 
cogs\rng.py,C0301, line-too-long,2,1, , , , , , , , 
cogs\league.py,C0301, line-too-long,13,0, , , , , , , , 
cogs\stonks.py,C0301, line-too-long,3,0, , , , , , , , 
cogs\osrs.py,C0301, line-too-long,8,0, , , , , , , , 
cogs\books.py,C0301, line-too-long,3,0, , , , , , , , 
utils\paginate.py,C0301, line-too-long,3,0, , , , , , , , 
cogs\weather.py,C0301, line-too-long,6,0, , , , , , , , 
cogs\eval.py,W0718, broad-exception-caught,3,0, , , , , , , , 
cogs\crypto.py,C0301, line-too-long,5,0, , , , , , , , 
cogs\error.py,C0301, line-too-long,3,0, , , , , , , , 
cogs\mod.py,C0301, line-too-long,1,0, , , , , , , , 
cogs\wiki.py,C0301, line-too-long,6,0, , , , , , , , 
cogs\tmdb.py,C0301, line-too-long,3,0, , , , , , , , 
cogs\generic.py,C0301, line-too-long,3,0, , , , , , , , 
cogs\ask.py,C0301, line-too-long,6,0, , , , , , , , 
cogs\tag.py,C0301, line-too-long,7,0, , , , , , , , 
