path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
l10n_br_nfse_ginfes\models\document.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
l10n_br_sale\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_delivery\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal_certificate\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_nfe_spec\models\v4_0\leiaute_nfe_v4_00.py,C0302, too-many-lines,1,1, , , , , , , , 
l10n_br_product_contract\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_repair\models\repair_order.py,R0912, too-many-branches,1,1, , , , , , , , 
l10n_br_sale_blanket_order\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_nfe\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
spec_driven_model\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_account_payment_brcobranca\parser\cnab_file_parser.py,R0915, too-many-statements,1,1, , , , , , , , 
l10n_br_stock_account\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_stock\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_hr_expense_invoice\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_purchase_stock\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal_edi\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_delivery_nfe\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_coa_simple\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_currency_rate_update\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_pos_cfe\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_purchase\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_sale_invoice_plan\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_account_nfe\models\document.py,R1703, simplifiable-if-statement,2,1, , , , , , , , 
l10n_br_crm\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_nfse_paulistana\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal_closing\models\closing.py,W0718, broad-exception-caught,1,1, , , , , , , , 
l10n_br_account_payment_order\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal_edi\models\document_workflow.py,R0911, too-many-return-statements,1,1, , , , , , , , 
l10n_br_nfse_paulistana\models\document.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
l10n_br_sale_commission\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_nfse_ginfes\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal\models\icms_regulation.py,C0302, too-many-lines,1,1, , , , , , , , 
l10n_br_mdfe_spec\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal_dfe\models\dfe.py,W0718, broad-exception-caught,2,1, , , , , , , , 
l10n_br_account_nfe\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_nfe_spec\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_cte_spec\models\v4_0\cte_modal_aereo_v4_00.py,C0301, line-too-long,1,1, , , , , , , , 
l10n_br_fiscal_closing\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_pos\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_sale_stock\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_website_sale\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
spec_driven_model\models\spec_import.py,R0912, too-many-branches,2,1, , , , , , , , 
l10n_br_account_payment_order\models\account_payment_order.py,R0912, too-many-branches,1,1, , , , , , , , 
l10n_br_account_payment_brcobranca\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_pos_nfce\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_nfe\models\mde.py,W0718, broad-exception-caught,1,1, , , , , , , , 
l10n_br_account_due_list\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal\models\tax.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
l10n_br_fiscal_dfe\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_nfse_barueri\models\document.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
l10n_br_repair\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_stock_account_report\wizards\l10n_br_p7_model_inventory_report_wizard.py,R0912, too-many-branches,1,1, , , , , , , , 
spec_driven_model\models\spec_export.py,R0911, too-many-return-statements,1,1, , , , , , , , 
l10n_br_coa\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_account\models\account_move_line.py,R0912, too-many-branches,1,1, , , , , , , , 
l10n_br_fiscal\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal\migrations\14.0.11.0.0\post-migration.py,W0718, broad-exception-caught,1,1, , , , , , , , 
l10n_br_mdfe_spec\models\v3_0\mdfe_tipos_basico_v3_00.py,C0302, too-many-lines,1,1, , , , , , , , 
payment_pagseguro\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_website_sale_delivery\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_cte_spec\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_stock_account_report\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_cnab_structure\models\cnab_structure.py,R0912, too-many-branches,1,1, , , , , , , , 
l10n_br_cnpj_search\__manifest__.py,W0104, pointless-statement,1,1, , , , , , , , 
l10n_br_fiscal\models\operation_line.py,R0912, too-many-branches,1,1, , , , , , , , 
l10n_br_base\models\res_company.py,W0718, broad-exception-caught,1,1, , , , , , , , 
