path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
rosapi\src\rosapi\objectutils.py,W0718, broad-exception-caught,1,1, , , , , , , , 
rosapi\src\rosapi\stringify_field_types.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\actions.py,W0718, broad-exception-caught,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\pngcompression.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\services.py,W0718, broad-exception-caught,1,1, , , , , , , , 
rosapi\src\rosapi\proxy.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\message_conversion.py,R0911, too-many-return-statements,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\util\cbor.py,R0912, too-many-branches,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\subscription_modifiers.py,W0718, broad-exception-caught,2,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\advertise_service.py,C0301, line-too-long,2,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\unadvertise_action.py,C0301, line-too-long,1,1, , , , , , , , 
rosapi\src\rosapi\params.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\publishers.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_server\scripts\rosbridge_websocket.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\call_service.py,C0301, line-too-long,2,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\subscribers.py,W0718, broad-exception-caught,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\defragmentation.py,R0912, too-many-branches,1,1, , , , , , , , 
rosbridge_server\src\rosbridge_server\websocket_handler.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\send_action_goal.py,C0301, line-too-long,2,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\capability.py,C0301, line-too-long,1,1, , , , , , , , 
rosbridge_library\src\rosbridge_library\protocol.py,W0107,unnecessary-pass,1,1, , , , , , , , 
rosapi\src\rosapi\objectutils.py,C0301, line-too-long,1,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\internal\message_conversion.py,C0301, line-too-long,2,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\util\cbor.py,C0301, line-too-long,2,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\util\cbor.py,R0911, too-many-return-statements,3,0, , , , , , , , 
rosapi\src\rosapi\params.py,W0718, broad-exception-caught,3,0, , , , , , , , 
rosbridge_server\scripts\rosbridge_websocket.py,R0912, too-many-branches,2,0, , , , , , , , 
rosbridge_server\scripts\rosbridge_websocket.py,R0915, too-many-statements,2,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\advertise_action.py,C0301, line-too-long,3,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\defragmentation.py,C0301, line-too-long,5,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\capabilities\defragmentation.py,R0915, too-many-statements,1,0, , , , , , , , 
rosbridge_server\src\rosbridge_server\websocket_handler.py,W0718, broad-exception-caught,1,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\capability.py,W0107,unnecessary-pass,2,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\protocol.py,C0301, line-too-long,27,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\protocol.py,R0912, too-many-branches,1,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\protocol.py,W0706, try-except-raise,1,0, , , , , , , , 
rosbridge_library\src\rosbridge_library\protocol.py,W0718, broad-exception-caught,4,0, , , , , , , , 
