path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\sas\qtgui\GL\icosahedron.py,C0301, line-too-long,2,1, , , , , , , , 
src\sas\qtgui\Plotting\PlotProperties.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
src\sas\sascalc\fit\pagestate.py,W0706, try-except-raise,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\Invariant\InvariantPerspective.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\sas\qtgui\Perspectives\ParticleEditor\ParameterFunctionality\ParameterTableButtons.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\qtgui\Plotting\Plotter2D.py,R0912, too-many-branches,2,1, , , , , , , , 
src\sas\qtgui\Utilities\Reports\reports.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\Fitting\FittingUtilities.py,C0302, too-many-lines,1,1, , , , , , , , 
src\sas\qtgui\Utilities\TabbedModelEditor.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\sascalc\fit\BumpsFitting.py,R0912, too-many-branches,1,1, , , , , , , , 
src\sas\qtgui\Utilities\SasviewLogger.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\Fitting\FittingOptions.py,W0104, pointless-statement,1,1, , , , , , , , 
src\sas\qtgui\Plotting\Plottables.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\sas\qtgui\Calculators\DensityPanel.py,C0301, line-too-long,2,1, , , , , , , , 
src\sas\qtgui\Perspectives\Inversion\InversionPerspective.py,C0302, too-many-lines,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\Fitting\GPUOptions.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\sas\qtgui\Perspectives\ParticleEditor\calculations\debye_benchmark.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\qtgui\convertUI.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\sas\qtgui\Utilities\PythonSyntax.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
src\sas\qtgui\Utilities\Preferences\PreferencesWidget.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\ParticleEditor\ParameterFunctionality\ParameterTableModel.py,R0912, too-many-branches,1,1, , , , , , , , 
src\sas\sascalc\invariant\invariant.py,C0302, too-many-lines,1,1, , , , , , , , 
src\sas\qtgui\Plotting\SetGraphRange.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\sas\sascalc\pr\num_term.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\qtgui\Plotting\SlicerModel.py,R1719, simplifiable-if-expression,2,1, , , , , , , , 
src\sas\qtgui\MainWindow\WelcomePanel.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\Fitting\ReportPageLogic.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\webfit\data\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\Fitting\FittingPerspective.py,W0107,unnecessary-pass,2,1, , , , , , , , 
src\sas\qtgui\GL\transforms.py,W0401, wildcard-import,2,1, , , , , , , , 
src\sas\webfit\analyze\fitting\views.py,W0401, wildcard-import,1,1, , , , , , , , 
src\sas\qtgui\GL\models.py,C0301, line-too-long,2,1, , , , , , , , 
src\sas\qtgui\Perspectives\Fitting\FittingLogic.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\qtgui\Plotting\Slicers\AnnulusSlicer.py,C0301, line-too-long,1,1, , , , , , , , 
build_tools\get_external_dependencies.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\qtgui\Plotting\LinearFit.py,R0915, too-many-statements,2,1, , , , , , , , 
src\sas\qtgui\Calculators\DataOperationUtilityPanel.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\ParticleEditor\calculations\debye.py,C0301, line-too-long,2,1, , , , , , , , 
src\sas\qtgui\Plotting\QRangeSlider.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\sascalc\calculator\sas_gen.py,W0125,using-constant-test,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\Corfunc\CorfuncPerspective.py,R0915, too-many-statements,1,1, , , , , , , , 
src\sas\qtgui\Utilities\GuiUtils.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\sascalc\fit\Loader.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\system\config\config.py,C0301, line-too-long,1,1, , , , , , , , 
src\sas\qtgui\Calculators\SlitSizeCalculator.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\sas\qtgui\Perspectives\ParticleEditor\util.py,R0912, too-many-branches,1,1, , , , , , , , 
src\sas\qtgui\Plotting\Masks\SectorMask.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\sas\sascalc\calculator\gsc_model.py,C0301, line-too-long,2,1, , , , , , , , 
src\sas\qtgui\GL\surface.py,C0301, line-too-long,1,1, , , , , , , , 
