path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\brickv\plugin_system\plugins\led_strip_v2\led_strip_v2.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\temperature_v2\temperature_v2.py,C0301, line-too-long,2,1, , , , , , , , 
src\brickv\bindings\ip_connection.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_dual_analog_in\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\led_strip\led_strip.py,R0915, too-many-statements,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\export.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_dual_ac_relay\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\master\wifi2.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_digital_in_4\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_info_files.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\settings_network_status.py,C0301, line-too-long,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\hall_effect_v2\hall_effect_v2.py,C0301, line-too-long,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_settings_network.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\rs485\rs485.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\temperature_ir_v2\temperature_ir_v2.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\async_call.py,R0912, too-many-branches,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\ambient_light\ambient_light.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\color_v2\color_v2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\imu\imu.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_dual_ac_in\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\master\chibi.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\rename.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\pyinstaller_utils.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\can_v2\can_v2.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_analog_out_v2\industrial_analog_out_v2.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\master\wifi.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\piezo_buzzer\piezo_buzzer.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_page_arguments.py,W0401, wildcard-import,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\settings_server_monitoring.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\bin_validator.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\can\can.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\master\rs485.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_overview.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\imu_v3\imu_v3_3d_widget.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_info_logs_view.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_importexport_systemlogs.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\sound_pressure_level\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\analog_out\analog_out.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\samba.py,R0912, too-many-branches,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_digital_in_4_v2\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\master\ethernet.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\rotary_encoder_v2\rotary_encoder_v2.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\laser_range_finder\laser_range_finder.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\real_time_clock\real_time_clock.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\bindings\bricklet_performance_dc.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\co2_v2\co2_v2.py,C0301, line-too-long,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_page_vbnet.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\tilt\tilt.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\evse_v2\evse_v2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_settings_mobile_internet_provider_preset_dialog.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_update_tinkerforge_software_dialog.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\brickv\plugin_system\unknown.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_settings_ap.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\qhexedit.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\bindings\bricklet_nfc.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\bindings\bricklet_silent_stepper_v2.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\ambient_light_v2\ambient_light_v2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\lcd_20x4\lcd_20x4.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\real_time_clock_v2\real_time_clock_v2.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\change_permissions.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\callback_emulator.py,C0301, line-too-long,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_importexport_export.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\settings_services.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\flashing.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_program.py,W0401, wildcard-import,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_settings_filesystem.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\xmc1400_breakout\xmc1400_breakout.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\healthmonitor.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\distance_us\distance_us.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\gps_v3\gps_v3.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\motorized_linear_poti\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\segment_display_4x7_v2\segment_display_4x7_v2.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\brickv\bindings\brick_master.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_wizard.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\thermal_imaging\thermal_imaging.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\brickv\developer.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\color\color.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\distance_ir\distance_ir.py,C0301, line-too-long,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_info_main.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\java_main_classes.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\config_macos.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\config_windows.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\mac_pasteboard_mime_fixed.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\imu\calibrate_accelerometer.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_page_ruby.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\bindings\bricklet_evse_v2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\data_logger\main.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\barometer_v2\barometer_v2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\build_scripts.py,C0301, line-too-long,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_extension.py,R0912, too-many-branches,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_settings_services.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\imu_v2\imu_v2_3d_widget.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_quad_relay\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_digital_out_4_v2\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_info_delphi_compile.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_info_logs.py,R0915, too-many-statements,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\program_page_stdio.py,W0401, wildcard-import,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_settings_openhab.py,R0912, too-many-branches,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\segment_display_4x7\segment_display_4x7.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\motion_detector\motion_detector.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\nfc\nfc.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\scripts\import_extract.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\config_linux.py,W0401, wildcard-import,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\industrial_dual_0_20ma_v2\industrial_dual_0_20ma_v2.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\data_logger\setup_dialog.py,R0915, too-many-statements,2,1, , , , , , , , 
src\brickv\plugin_system\plugins\solid_state_relay_v2\solid_state_relay_v2.py,C0301, line-too-long,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\warp_energy_manager\warp_energy_manager.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\bindings\brick_red.py,C0302, too-many-lines,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\build_serviceproviders.py,R0915, too-many-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\java_utils.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\brickv\plugin_system\plugins\red\red_tab_settings_server_monitoring_add_host_dialog.py,W0401, wildcard-import,1,1, , , , , , , , 
