path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
pyaf\TS\ModelSelection_Voting.py,W0107,unnecessary-pass,1,1, , , , , , , , 
pyaf\TS\SignalDecomposition_Trainer.py,R0915, too-many-statements,1,1, , , , , , , , 
pyaf\TS\SignalDecomposition_AR.py,R0912, too-many-branches,1,1, , , , , , , , 
pyaf\Bench\YahooStocks.py,W0301, unnecessary-semicolon,2,1, , , , , , , , 
pyaf\TS\SignalDecomposition.py,W0107,unnecessary-pass,1,1, , , , , , , , 
pyaf\TS\Signal_Transformation.py,R0911, too-many-return-statements,1,1, , , , , , , , 
setup.py,C0301, line-too-long,1,1, , , , , , , , 
pyaf\Bench\TS_datasets.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
pyaf\ForecastEngine.py,W0107,unnecessary-pass,2,1, , , , , , , , 
pyaf\TS\TimeSeries_Cutting.py,C0301, line-too-long,1,1, , , , , , , , 
pyaf\TS\Keras_Models.py,C0325, superfluous-parens,2,1, , , , , , , , 
pyaf\Bench\GenericBenchmark.py,W0718, broad-exception-caught,1,1, , , , , , , , 
pyaf\TS\ModelSelection_Legacy.py,W0107,unnecessary-pass,1,1, , , , , , , , 
pyaf\TS\DateTime_Functions.py,C0301, line-too-long,2,1, , , , , , , , 
pyaf\TS\Time.py,W0107,unnecessary-pass,1,1, , , , , , , , 
pyaf\TS\Utils.py,C0325, superfluous-parens,2,1, , , , , , , , 
pyaf\TS\Pytorch_Models.py,C0301, line-too-long,2,1, , , , , , , , 
pyaf\TS\Intermittent_Models.py,W0107,unnecessary-pass,1,1, , , , , , , , 
pyaf\WS\WS_REST_Flask.py,C0301, line-too-long,1,1, , , , , , , , 
pyaf\Bench\NN3.py,W0301, unnecessary-semicolon,2,1, , , , , , , , 
pyaf\Bench\download_all_stock_prices.py,W0301, unnecessary-semicolon,1,1, , , , , , , , 
pyaf\HierarchicalForecastEngine.py,W0107,unnecessary-pass,2,1, , , , , , , , 
pyaf\TS\Scikit_Models.py,W0718, broad-exception-caught,2,1, , , , , , , , 
pyaf\TS\Signal_Grouping.py,W0107,unnecessary-pass,1,1, , , , , , , , 
