path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
c2corg_api\scripts\migration\documents\document.py,R0915, too-many-statements,1,1, , , , , , , , 
c2corg_api\views\user_account.py,R0915, too-many-statements,1,1, , , , , , , , 
c2corg_api\models\image.py,C0325, superfluous-parens,1,1, , , , , , , , 
c2corg_api\markdown\__init__.py,W0718, broad-exception-caught,1,1, , , , , , , , 
c2corg_api\scripts\initializees.py,W0718, broad-exception-caught,1,1, , , , , , , , 
c2corg_api\views\document.py,C0325, superfluous-parens,2,1, , , , , , , , 
alembic_migration\versions\06d2a35e39c8_improve_serac_database.py,R0915, too-many-statements,2,1, , , , , , , , 
c2corg_api\search\search_filters.py,R0911, too-many-return-statements,1,1, , , , , , , , 
c2corg_api\tweens\jwt_database_validation.py,W0718, broad-exception-caught,1,1, , , , , , , , 
c2corg_api\search\mapping_types.py,R0912, too-many-branches,1,1, , , , , , , , 
alembic_migration\versions\38df9393c9a9_init.py,R0915, too-many-statements,2,1, , , , , , , , 
c2corg_api\views\validation.py,W0718, broad-exception-caught,1,1, , , , , , , , 
c2corg_api\views\document_delete.py,R0911, too-many-return-statements,1,1, , , , , , , , 
c2corg_api\views\__init__.py,R0911, too-many-return-statements,1,1, , , , , , , , 
alembic_migration\versions\83956b269661_add_rate_limiting_structure.py,C0301, line-too-long,1,1, , , , , , , , 
c2corg_api\search\notify_sync.py,W0718, broad-exception-caught,2,1, , , , , , , , 
alembic_migration\versions\bece9007ab83_add_documents_tags.py,C0301, line-too-long,1,1, , , , , , , , 
alembic_migration\versions\d4d360ef69bc_update_public_transportation_types.py,C0301, line-too-long,1,1, , , , , , , , 
c2corg_api\emails\email_service.py,W0718, broad-exception-caught,1,1, , , , , , , , 
c2corg_api\views\sso.py,W0718, broad-exception-caught,1,1, , , , , , , , 
c2corg_api\scripts\es\syncer.py,W0718, broad-exception-caught,1,1, , , , , , , , 
c2corg_api\views\user.py,R0911, too-many-return-statements,1,1, , , , , , , , 
c2corg_api\models\utils.py,C0325, superfluous-parens,1,1, , , , , , , , 
c2corg_api\views\feed.py,R0912, too-many-branches,1,1, , , , , , , , 
c2corg_api\scripts\migration\documents\waypoints\parking.py,C0301, line-too-long,1,1, , , , , , , , 
c2corg_api\markdown\toc.py,C0301, line-too-long,2,1, , , , , , , , 
c2corg_api\views\document_associations.py,R0912, too-many-branches,1,1, , , , , , , , 
c2corg_api\views\document_revert.py,R0911, too-many-return-statements,1,1, , , , , , , , 
c2corg_api\views\waypoint.py,C0301, line-too-long,1,1, , , , , , , , 
c2corg_api\scripts\migration\documents\document.py,R0912, too-many-branches,1,0, , , , , , , , 
alembic_migration\versions\2c90b2e5ca7e_add_chinese.py,C0301, line-too-long,3,0, , , , , , , , 
c2corg_api\views\health.py,W0718, broad-exception-caught,3,0, , , , , , , , 
es_migration\2017-03-29_slackline.py,R0801, duplicate-code,234,0, , , , , , , , 
alembic_migration\versions\06d2a35e39c8_improve_serac_database.py,C0301, line-too-long,8,0, , , , , , , , 
alembic_migration\versions\06d2a35e39c8_improve_serac_database.py,W0718, broad-exception-caught,1,0, , , , , , , , 
c2corg_api\search\mapping_types.py,W0107,unnecessary-pass,1,0, , , , , , , , 
alembic_migration\versions\38df9393c9a9_init.py,C0301, line-too-long,234,0, , , , , , , , 
alembic_migration\versions\38df9393c9a9_init.py,C0302, too-many-lines,1,0, , , , , , , , 
c2corg_api\views\forum.py,W0718, broad-exception-caught,3,0, , , , , , , , 
c2corg_api\views\user.py,W0718, broad-exception-caught,5,0, , , , , , , , 
c2corg_api\caching.py,W0718, broad-exception-caught,4,0, , , , , , , , 
