path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
bin\create_inflections.py,C0301, line-too-long,1,1, , , , , , , , 
bin\verify_tab_file.py,R0915, too-many-statements,1,1, , , , , , , , 
bin\compare_headwords.py,C0301, line-too-long,2,1, , , , , , , , 
bin\collect_compound_chinese_words.py,C0325, superfluous-parens,1,1, , , , , , , , 
bin\utils\tab_stats.py,C0301, line-too-long,2,1, , , , , , , , 
bin\convert_all.py,W0107,unnecessary-pass,1,1, , , , , , , , 
bin\fix_duplicated_headwords.py,R0915, too-many-statements,1,1, , , , , , , , 
bin\tab2opf.py,C0301, line-too-long,3,0, , , , , , , , 
bin\utils\stardict2txt.py,C0301, line-too-long,6,0, , , , , , , , 
bin\collect_compound_chinese_words.py,C0301, line-too-long,1,0, , , , , , , , 
bin\collect_compound_chinese_words.py,W0107,unnecessary-pass,1,0, , , , , , , , 
bin\utils\extract-definition.py,C0301, line-too-long,3,0, , , , , , , , 
bin\utils\tab_stats.py,R0915, too-many-statements,1,0, , , , , , , , 
bin\utils\tab_stats.py,W0107,unnecessary-pass,1,0, , , , , , , , 
bin\merge_inflection_lists.py,C0301, line-too-long,4,0, , , , , , , , 
bin\utils\taotudienphathoc.py,C0301, line-too-long,3,0, , , , , , , , 
bin\utils\taotudienphathoc.py,R0801, duplicate-code,7,0, , , , , , , , 
bin\convert_all.py,C0301, line-too-long,11,0, , , , , , , , 
bin\convert_all.py,R0912, too-many-branches,1,0, , , , , , , , 
bin\convert_all.py,R0915, too-many-statements,1,0, , , , , , , , 
