path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
examples\run_download_S14.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\single_csv_join_ground_stations.py,C0301, line-too-long,1,1, , , , , , , , 
extra_plots\plot_spike_cleaning.py,R0915, too-many-statements,1,1, , , , , , , , 
binary_import_main_tapes.py,R0912, too-many-branches,1,1, , , , , , , , 
deep_moonquake_cross_correlations\e.stack_multiple_events.py,C0301, line-too-long,1,1, , , , , , , , 
examples\run_csv_join_1971.py,W0401, wildcard-import,1,1, , , , , , , , 
extra_plots\plot_seismometer_response.py,C0301, line-too-long,1,1, , , , , , , , 
examples\run_csv_join_1976.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\run_binary_import_work_tapes3.py,C0301, line-too-long,1,1, , , , , , , , 
update_flat.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\run_csv_join_1974.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\single_binary_import_work_tapes.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\run_binary_import_work_tapes1.py,C0301, line-too-long,1,1, , , , , , , , 
examples\run_csv_join_1969.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\run_download_S16.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\run_csv_check_main_tapes_S16.py,C0302, too-many-lines,1,1, , , , , , , , 
examples\single_csv_check_work_tapes.py,C0301, line-too-long,1,1, , , , , , , , 
binary_import_work_tapes.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\run_csv_check_main_tapes_S15.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\repeat_csv_join.py,W0401, wildcard-import,1,1, , , , , , , , 
examples\run_binary_import_work_tapes4.py,C0301, line-too-long,1,1, , , , , , , , 
