path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
scripts\make_glottolog_languages.py,R0915, too-many-statements,1,1, , , , , , , , 
src\cltk\alphabet\enm.py,C0301, line-too-long,2,1, , , , , , , , 
src\cltk\prosody\lat\metrical_validator.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
src\cltk\alphabet\grc\grc.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\languages\utils.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\phonology\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\prosody\lat\scansion_formatter.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\cltk\stops\non.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\phonology\ang\transliteration.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\morphology\universal_dependencies_features.py,C0301, line-too-long,2,1, , , , , , , , 
src\cltk\phonology\arb\romanization.py,C0301, line-too-long,2,1, , , , , , , , 
src\cltk\phonology\grc\transcription.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\cltk\phonology\non\transcription.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\cltk\tag\ner.py,R0912, too-many-branches,1,1, , , , , , , , 
src\cltk\core\exceptions.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\cltk\phonology\enm\stress.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\cltk\tokenizers\akk.py,R0912, too-many-branches,1,1, , , , , , , , 
src\cltk\tokenizers\utils.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\dependency\tree.py,W0104, pointless-statement,1,1, , , , , , , , 
src\cltk\prosody\lat\scanner.py,R0912, too-many-branches,1,1, , , , , , , , 
src\cltk\corpora\grc\tlg\id_author.py,C0302, too-many-lines,1,1, , , , , , , , 
src\cltk\languages\glottolog.py,C0302, too-many-lines,1,1, , , , , , , , 
src\cltk\phonology\ang\orthophonology.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\cltk\dependency\utils.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\cltk\morphology\akk.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\cltk\lemmatize\grc.py,C0301, line-too-long,2,1, , , , , , , , 
src\cltk\tokenizers\lat\params.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\morphology\lat.py,R0912, too-many-branches,1,1, , , , , , , , 
src\cltk\tokenizers\non.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\stops\enm.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\lexicon\lat.py,C0301, line-too-long,2,1, , , , , , , , 
src\cltk\corpora\grc\tlg\tlgu.py,R1726, simplifiable-condition,1,1, , , , , , , , 
src\cltk\stops\grc.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\corpora\lat\phi\phi5_index.py,C0302, too-many-lines,1,1, , , , , , , , 
src\cltk\stops\fro.py,C0301, line-too-long,1,1, , , , , , , , 
src\cltk\tokenizers\processes.py,C0301, line-too-long,2,1, , , , , , , , 
docs\conf.py,C0301, line-too-long,2,1, , , , , , , , 
src\cltk\data\fetch.py,R0915, too-many-statements,1,1, , , , , , , , 
src\cltk\prosody\lat\syllabifier.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\cltk\tokenizers\word.py,W0107,unnecessary-pass,2,1, , , , , , , , 
src\cltk\wordnet\wordnet.py,C0302, too-many-lines,1,1, , , , , , , , 
src\cltk\phonology\processes.py,W0401, wildcard-import,2,1, , , , , , , , 
