path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
twisted\plugins\autobahn_endpoints.py,R0912, too-many-branches,1,1, , , , , , , , 
autobahn\asyncio\component.py,W0718, broad-exception-caught,1,1, , , , , , , , 
autobahn\twisted\websocket.py,W0718, broad-exception-caught,1,1, , , , , , , , 
autobahn\xbr\_cli.py,R0915, too-many-statements,2,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\Register.py,C0301, line-too-long,2,1, , , , , , , , 
autobahn\wamp\interfaces.py,C0302, too-many-lines,1,1, , , , , , , , 
autobahn\wamp\gen\wamp\Map.py,C0301, line-too-long,2,1, , , , , , , , 
examples\asyncio\wamp\pubsub\options\backend.py,C0301, line-too-long,1,1, , , , , , , , 
examples\twisted\websocket\echo_endpoints\client.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\asyncio\websocket.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\RouterRoles.py,C0301, line-too-long,2,1, , , , , , , , 
examples\twisted\wamp\component\backend.py,W0125,using-constant-test,1,1, , , , , , , , 
pyinstaller\hook-autobahn.py,W0104, pointless-statement,1,1, , , , , , , , 
examples\asciinema-autobahn-demo.py,W0104, pointless-statement,1,1, , , , , , , , 
examples\asyncio\websocket\slowsquare\server.py,W0718, broad-exception-caught,1,1, , , , , , , , 
autobahn\xbr\_schema.py,W0718, broad-exception-caught,2,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\Interrupt.py,C0301, line-too-long,2,1, , , , , , , , 
autobahn\wamp\uri.py,R0912, too-many-branches,1,1, , , , , , , , 
autobahn\__main__.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\asyncio\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\request.py,C0301, line-too-long,1,1, , , , , , , , 
examples\twisted\wamp\app\serial2ws\serial2ws.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\twisted\wamp\rpc\timeservice\backend.py,W0718, broad-exception-caught,1,1, , , , , , , , 
autobahn\wamp\component.py,R0912, too-many-branches,2,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\AuthCryptosignChallenge.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\xbr\_userkey.py,W0718, broad-exception-caught,2,1, , , , , , , , 
autobahn\wamp\role.py,C0301, line-too-long,1,1, , , , , , , , 
examples\twisted\websocket\echo_compressed\server_advanced.py,W0401, wildcard-import,1,1, , , , , , , , 
autobahn\twisted\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
examples\run-all-examples.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\twisted\wamp\component\frontend.py,W0718, broad-exception-caught,1,1, , , , , , , , 
autobahn\xbr\_wallet.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\Unsubscribed.py,C0301, line-too-long,2,1, , , , , , , , 
examples\twisted\websocket\streaming\streaming_client.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\twisted\choosereactor.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\twisted\wamp\auth\backend_salted.py,W0125,using-constant-test,1,1, , , , , , , , 
autobahn\xbr\_eip712_market_member_login.py,C0301, line-too-long,2,1, , , , , , , , 
examples\twisted\wamp\rpc\decorators\frontend.py,W0718, broad-exception-caught,1,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\Authenticate.py,C0301, line-too-long,2,1, , , , , , , , 
autobahn\xbr\_dialog.py,C0301, line-too-long,1,1, , , , , , , , 
examples\twisted\websocket\slowsquare\server.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\twisted\websocket\echo_endpoints\server.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\Abort.py,C0301, line-too-long,2,1, , , , , , , , 
examples\twisted\wamp\app\calculator\calculator.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\auth.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\xbr\_secmod.py,W0718, broad-exception-caught,2,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\Subscribe.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\message.py,R0911, too-many-return-statements,2,1, , , , , , , , 
examples\twisted\websocket\echo_tls\client.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\asyncio\xbr\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\xbr\_buyer.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\asyncio\wamp\pubsub\options\frontend.py,C0301, line-too-long,2,1, , , , , , , , 
examples\asyncio\wamp\rawsocket\runner.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\cryptobox.py,R0912, too-many-branches,1,1, , , , , , , , 
autobahn\wamp\gen\wamp\proto\Message.py,C0301, line-too-long,1,1, , , , , , , , 
autobahn\wamp\serializer.py,C0302, too-many-lines,1,1, , , , , , , , 
examples\asyncio\wamp\session\series\frontend.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\twisted\websocket\streaming\streaming_producer_client.py,C0301, line-too-long,1,1, , , , , , , , 
examples\asyncio\wamp\rpc\timeservice\frontend.py,W0718, broad-exception-caught,1,1, , , , , , , , 
