path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
py\desidatamodel\__init__.py,W0107,unnecessary-pass,2,1, , , , , , , , 
py\desidatamodel\scan.py,W0104, pointless-statement,1,1, , , , , , , , 
py\desidatamodel\check.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
py\desidatamodel\stub.py,R0912, too-many-branches,1,1, , , , , , , , 
py\desidatamodel\unit.py,W0107,unnecessary-pass,1,1, , , , , , , , 
py\desidatamodel\update.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
py\desidatamodel\scan.py,C0301, line-too-long,8,0, , , , , , , , 
py\desidatamodel\scan.py,R0912, too-many-branches,1,0, , , , , , , , 
py\desidatamodel\scan.py,R0915, too-many-statements,1,0, , , , , , , , 
py\desidatamodel\check.py,C0301, line-too-long,19,0, , , , , , , , 
py\desidatamodel\check.py,R0912, too-many-branches,4,0, , , , , , , , 
py\desidatamodel\check.py,R0915, too-many-statements,2,0, , , , , , , , 
py\desidatamodel\stub.py,C0301, line-too-long,5,0, , , , , , , , 
py\desidatamodel\stub.py,C0325, superfluous-parens,1,0, , , , , , , , 
setup.py,C0301, line-too-long,3,0, , , , , , , , 
py\desidatamodel\update.py,C0301, line-too-long,6,0, , , , , , , , 
py\desidatamodel\update.py,R0912, too-many-branches,1,0, , , , , , , , 
