path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
django_extensions\management\commands\runjob.py,W0718, broad-exception-caught,1,1, , , , , , , , 
django_extensions\management\commands\runjobs.py,W0718, broad-exception-caught,1,1, , , , , , , , 
django_extensions\management\commands\mail_debug.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\commands\update_permissions.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
django_extensions\management\commands\runprofileserver.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\management\commands\merge_model_instances.py,C0301, line-too-long,2,1, , , , , , , , 
django_extensions\management\utils.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\commands\print_settings.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\management\commands\delete_squashed_migrations.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\import_subclasses.py,C0301, line-too-long,2,1, , , , , , , , 
django_extensions\management\commands\list_model_info.py,R0915, too-many-statements,1,1, , , , , , , , 
django_extensions\management\technical_response.py,C0301, line-too-long,2,1, , , , , , , , 
django_extensions\management\commands\runserver_plus.py,R0912, too-many-branches,2,1, , , , , , , , 
django_extensions\management\commands\dumpscript.py,R0911, too-many-return-statements,1,1, , , , , , , , 
django_extensions\management\commands\notes.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\management\commands\graph_models.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\management\commands\reset_db.py,R0915, too-many-statements,1,1, , , , , , , , 
django_extensions\management\debug_cursor.py,R0912, too-many-branches,1,1, , , , , , , , 
setup.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\commands\set_fake_emails.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\admin\__init__.py,W0718, broad-exception-caught,1,1, , , , , , , , 
django_extensions\management\commands\validate_templates.py,W0718, broad-exception-caught,1,1, , , , , , , , 
django_extensions\management\commands\generate_password.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\commands\describe_form.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\commands\set_fake_passwords.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\shells.py,R0915, too-many-statements,2,1, , , , , , , , 
django_extensions\management\mysql.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\commands\sqldiff.py,C0302, too-many-lines,1,1, , , , , , , , 
django_extensions\management\commands\create_jobs.py,C0301, line-too-long,2,1, , , , , , , , 
django_extensions\management\commands\syncdata.py,W0706, try-except-raise,1,1, , , , , , , , 
django_extensions\management\commands\shell_plus.py,W0718, broad-exception-caught,2,1, , , , , , , , 
django_extensions\management\jobs.py,W0718, broad-exception-caught,1,1, , , , , , , , 
django_extensions\management\commands\reset_schema.py,C0301, line-too-long,2,1, , , , , , , , 
django_extensions\management\commands\runscript.py,W0718, broad-exception-caught,1,1, , , , , , , , 
django_extensions\utils\dia2django.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\management\commands\admin_generator.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\commands\sync_s3.py,R0915, too-many-statements,2,1, , , , , , , , 
django_extensions\management\commands\show_urls.py,R0912, too-many-branches,2,1, , , , , , , , 
django_extensions\management\commands\create_command.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\management\commands\set_default_site.py,C0301, line-too-long,1,1, , , , , , , , 
django_extensions\management\modelviz.py,R0912, too-many-branches,1,1, , , , , , , , 
django_extensions\management\commands\create_template_tags.py,C0301, line-too-long,2,1, , , , , , , , 
django_extensions\management\commands\pipchecker.py,R0912, too-many-branches,2,1, , , , , , , , 
django_extensions\settings.py,C0301, line-too-long,2,1, , , , , , , , 
