path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
survey\api\matrix.py,C0302, too-many-lines,1,1, , , , , , , , 
survey\api\sample.py,R0915, too-many-statements,1,1, , , , , , , , 
survey\api\serializers.py,C0325, superfluous-parens,1,1, , , , , , , , 
survey\models.py,C0302, too-many-lines,1,1, , , , , , , , 
survey\filters.py,R0912, too-many-branches,1,1, , , , , , , , 
survey\api\portfolios.py,R0912, too-many-branches,1,1, , , , , , , , 
survey\api\metrics.py,R0912, too-many-branches,1,1, , , , , , , , 
survey\api\matrix.py,R0912, too-many-branches,1,0, , , , , , , , 
survey\api\matrix.py,R0915, too-many-statements,1,0, , , , , , , , 
survey\api\sample.py,R0912, too-many-branches,3,0, , , , , , , , 
