path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
python\tvm\relax\frontend\torch\dynamo.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\topi\x86\conv2d_avx_common.py,R0915, too-many-statements,1,1, , , , , , , , 
gallery\how_to\tune_with_autotvm\tune_relay_mobile_gpu.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\auto_scheduler\measure.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\contrib\cutlass\gemm_operation.py,R0912, too-many-branches,1,1, , , , , , , , 
gallery\how_to\tune_with_autoscheduler\tune_network_cuda.py,C0301, line-too-long,1,1, , , , , , , , 
python\tvm\relay\frontend\keras.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\relay\transform\recast.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\relay\op\strategy\bifrost.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
python\tvm\topi\arm_cpu\conv2d_spatial_pack.py,R0912, too-many-branches,2,1, , , , , , , , 
python\tvm\topi\generic\conv2d.py,R0911, too-many-return-statements,1,1, , , , , , , , 
vta\python\vta\top\graphpack.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\relay\op\dyn\_transform.py,R0912, too-many-branches,2,1, , , , , , , , 
apps\microtvm\ethosu\convert_image.py,C0301, line-too-long,1,1, , , , , , , , 
python\tvm\relax\backend\dispatch_sort_scan.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\relay\analysis\sparse_conv2d.py,R0912, too-many-branches,1,1, , , , , , , , 
vta\python\vta\transform.py,C0302, too-many-lines,1,1, , , , , , , , 
gallery\how_to\work_with_microtvm\micro_autotune.py,C0301, line-too-long,2,1, , , , , , , , 
python\tvm\contrib\msc\pipeline\utils.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\topi\intel_graphics\depthwise_conv2d.py,R0915, too-many-statements,2,1, , , , , , , , 
python\tvm\relay\type_functor.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\topi\random\kernel.py,R0915, too-many-statements,2,1, , , , , , , , 
python\tvm\micro\contrib\stm32\emitter.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\relay\qnn\op\qnn.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\topi\cuda\conv2d_int8.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\dlight\gpu\matmul.py,R0912, too-many-branches,2,1, , , , , , , , 
python\tvm\relay\frontend\tensorflow2.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\runtime\module.py,R0912, too-many-branches,1,1, , , , , , , , 
ci\scripts\jenkins\should_rebuild_docker.py,C0301, line-too-long,1,1, , , , , , , , 
python\tvm\topi\cuda\tensorcore_alter_op.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\relax\expr.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\relay\backend\interpreter.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\relay\op\nn\_nn.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\topi\image\grid_sample.py,R0915, too-many-statements,1,1, , , , , , , , 
apps\microtvm\zephyr\template_project\microtvm_api_server.py,R0912, too-many-branches,1,1, , , , , , , , 
apps\topi_recipe\gemm\android_gemm_square.py,R0915, too-many-statements,1,1, , , , , , , , 
gallery\how_to\tune_with_autoscheduler\tune_network_arm.py,C0301, line-too-long,1,1, , , , , , , , 
python\tvm\contrib\relay_viz\interface.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\relax\expr_functor.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\topi\cuda\unique.py,R0915, too-many-statements,1,1, , , , , , , , 
docs\how_to\tutorials\optimize_llm.py,C0301, line-too-long,1,1, , , , , , , , 
gallery\how_to\tune_with_autoscheduler\tune_network_x86.py,C0301, line-too-long,1,1, , , , , , , , 
gallery\how_to\tune_with_autotvm\tune_relay_x86.py,C0301, line-too-long,2,1, , , , , , , , 
python\tvm\contrib\msc\core\tools\tool.py,R0912, too-many-branches,2,1, , , , , , , , 
python\tvm\contrib\torch\pytorch_tvm.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\driver\tvmc\autotuner.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\relay\op\strategy\x86.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\topi\cuda\nms.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\topi\cuda\reduction.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\topi\cuda\sparse.py,R0915, too-many-statements,2,1, , , , , , , , 
python\tvm\topi\cuda\sparse_reshape.py,R0915, too-many-statements,2,1, , , , , , , , 
apps\topi_recipe\gemm\gemm_int8.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\relay\backend\contrib\ethosu\te\pooling.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\runtime\object_generic.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\topi\adreno\group_conv2d_nchw.py,R0915, too-many-statements,2,1, , , , , , , , 
python\tvm\topi\cuda\scatter_elements.py,R0915, too-many-statements,1,1, , , , , , , , 
vta\python\vta\top\vta_conv2d.py,R0915, too-many-statements,1,1, , , , , , , , 
vta\python\vta\top\vta_dense.py,R0915, too-many-statements,1,1, , , , , , , , 
apps\bundle_deploy\build_model.py,C0301, line-too-long,2,1, , , , , , , , 
gallery\how_to\work_with_microtvm\micro_pytorch.py,C0301, line-too-long,2,1, , , , , , , , 
python\tvm\relay\backend\contrib\ethosu\tir\passes.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\relay\op\strategy\adreno.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\te\hybrid\parser.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\topi\arm_cpu\conv2d_alter_op.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\contrib\cutlass\build.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\relay\backend\contrib\ethosu\tir\dma.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
python\tvm\relay\op\contrib\dnnl.py,R0911, too-many-return-statements,1,1, , , , , , , , 
python\tvm\topi\adreno\conv2d_nhwc.py,R0912, too-many-branches,2,1, , , , , , , , 
python\tvm\topi\adreno\conv2d_transpose_nchw.py,R0915, too-many-statements,2,1, , , , , , , , 
python\setup.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\auto_scheduler\task_scheduler.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\dlight\gpu\general_reduction.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\dlight\gpu\low_batch_gemv.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\relay\op\contrib\ethosn.py,R0915, too-many-statements,1,1, , , , , , , , 
python\tvm\tir\op.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\topi\adreno\depthwise_conv2d_nchw.py,R0912, too-many-branches,1,1, , , , , , , , 
docs\how_to\tutorials\e2e_opt_model.py,C0301, line-too-long,1,1, , , , , , , , 
python\tvm\auto_scheduler\dispatcher.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\relay\op\transform.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\relay\transform\transform.py,C0302, too-many-lines,1,1, , , , , , , , 
python\tvm\topi\cuda\sort.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\topi\nn\dense.py,R0912, too-many-branches,1,1, , , , , , , , 
python\tvm\topi\x86\conv2d_alter_op.py,R0911, too-many-return-statements,1,1, , , , , , , , 
gallery\how_to\deploy_models\deploy_model_on_rasp.py,C0301, line-too-long,1,1, , , , , , , , 
python\tvm\relax\frontend\stablehlo\stablehlo_translator.py,R0911, too-many-return-statements,2,1, , , , , , , , 
python\tvm\relax\frontend\torch\fx_translator.py,R0912, too-many-branches,1,1, , , , , , , , 
