path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\buildercore\checks.py,C0301, line-too-long,1,1, , , , , , , , 
src\report.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\buildercore\core.py,R0915, too-many-statements,1,1, , , , , , , , 
src\buildercore\project\stack_generation__s3_bucket.py,C0301, line-too-long,1,1, , , , , , , , 
src\deploy.py,C0301, line-too-long,2,1, , , , , , , , 
src\master.py,C0301, line-too-long,1,1, , , , , , , , 
src\project.py,C0301, line-too-long,1,1, , , , , , , , 
src\buildercore\utils.py,W0706, try-except-raise,1,1, , , , , , , , 
src\askmaster.py,C0301, line-too-long,2,1, , , , , , , , 
src\aws\rds.py,C0301, line-too-long,2,1, , , , , , , , 
src\taskrunner.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\buildercore\terraform.py,C0302, too-many-lines,1,1, , , , , , , , 
src\aws\ec2.py,C0301, line-too-long,2,1, , , , , , , , 
src\buildercore\sns.py,C0301, line-too-long,2,1, , , , , , , , 
src\buildercore\trop.py,C0302, too-many-lines,1,1, , , , , , , , 
src\buildercore\vault.py,C0301, line-too-long,1,1, , , , , , , , 
src\buildercore\project\stack_generation.py,C0301, line-too-long,2,1, , , , , , , , 
src\tasks.py,C0301, line-too-long,1,1, , , , , , , , 
shell.py,C0301, line-too-long,1,1, , , , , , , , 
src\vault.py,C0301, line-too-long,2,1, , , , , , , , 
src\buildercore\cfngen.py,C0302, too-many-lines,1,1, , , , , , , , 
src\buildercore\project\files.py,C0301, line-too-long,1,1, , , , , , , , 
.project.py,C0301, line-too-long,1,1, , , , , , , , 
src\buildercore\concurrency.py,C0301, line-too-long,3,0, , , , , , , , 
src\masterless.py,C0301, line-too-long,7,0, , , , , , , , 
src\buildercore\bootstrap.py,C0301, line-too-long,40,0, , , , , , , , 
src\utils.py,C0301, line-too-long,6,0, , , , , , , , 
src\report.py,C0301, line-too-long,11,0, , , , , , , , 
src\report.py,C0325, superfluous-parens,1,0, , , , , , , , 
src\buildercore\core.py,C0301, line-too-long,48,0, , , , , , , , 
src\buildercore\project\__init__.py,C0301, line-too-long,11,0, , , , , , , , 
src\decorators.py,C0301, line-too-long,6,0, , , , , , , , 
src\buildvars.py,C0301, line-too-long,9,0, , , , , , , , 
src\buildercore\utils.py,C0301, line-too-long,7,0, , , , , , , , 
src\buildercore\bluegreen.py,C0301, line-too-long,7,0, , , , , , , , 
src\buildercore\context_handler.py,C0301, line-too-long,8,0, , , , , , , , 
src\buildercore\fastly.py,C0301, line-too-long,3,0, , , , , , , , 
src\taskrunner.py,C0301, line-too-long,6,0, , , , , , , , 
src\buildercore\lifecycle.py,C0301, line-too-long,25,0, , , , , , , , 
src\buildercore\terraform.py,C0301, line-too-long,50,0, , , , , , , , 
src\buildercore\terraform.py,R0912, too-many-branches,1,0, , , , , , , , 
src\buildercore\terraform.py,R0915, too-many-statements,1,0, , , , , , , , 
src\buildercore\cloudformation.py,C0301, line-too-long,30,0, , , , , , , , 
src\buildercore\project\stack_config.py,C0301, line-too-long,14,0, , , , , , , , 
src\buildercore\trop.py,C0301, line-too-long,65,0, , , , , , , , 
src\buildercore\trop.py,R0912, too-many-branches,1,0, , , , , , , , 
src\buildercore\trop.py,R0915, too-many-statements,1,0, , , , , , , , 
src\buildercore\bluegreen_v2.py,C0301, line-too-long,9,0, , , , , , , , 
src\buildercore\config.py,C0301, line-too-long,4,0, , , , , , , , 
src\cfn.py,C0301, line-too-long,13,0, , , , , , , , 
.prerequisites.py,C0301, line-too-long,5,0, , , , , , , , 
src\buildercore\cfngen.py,C0301, line-too-long,52,0, , , , , , , , 
src\buildercore\command.py,C0301, line-too-long,9,0, , , , , , , , 
src\buildercore\s3.py,C0301, line-too-long,4,0, , , , , , , , 
