path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
decide\model\observers\sqliteobserver.py,W0718, broad-exception-caught,1,1, , , , , , , , 
decide\results\issuecomparison.py,C0301, line-too-long,2,1, , , , , , , , 
decide\model\base.py,C0302, too-many-lines,1,1, , , , , , , , 
decide\model\equalgain.py,R0912, too-many-branches,1,1, , , , , , , , 
decide\utils.py,C0301, line-too-long,2,1, , , , , , , , 
decide\model\observers\externalities.py,W0107,unnecessary-pass,1,1, , , , , , , , 
decide\model\observers\issue_development.py,C0301, line-too-long,2,1, , , , , , , , 
decide\model\calculations.py,C0301, line-too-long,2,1, , , , , , , , 
decide\data\reader.py,C0301, line-too-long,2,1, , , , , , , , 
decide\results\nashbargainingsolution.py,C0301, line-too-long,1,1, , , , , , , , 
decide\data\modelfactory.py,C0301, line-too-long,1,1, , , , , , , , 
decide\model\randomrate.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
decide\qt\inputwindow\gui.py,C0301, line-too-long,3,0, , , , , , , , 
decide\model\observers\sqliteobserver.py,C0301, line-too-long,6,0, , , , , , , , 
decide\qt\mainwindow\gui.py,C0301, line-too-long,6,0, , , , , , , , 
decide\model\base.py,C0301, line-too-long,8,0, , , , , , , , 
decide\model\observers\observer.py,C0301, line-too-long,4,0, , , , , , , , 
decide\model\observers\observer.py,W0107,unnecessary-pass,7,0, , , , , , , , 
decide\model\equalgain.py,C0301, line-too-long,6,0, , , , , , , , 
decide\model\equalgain.py,R0915, too-many-statements,1,0, , , , , , , , 
decide\model\observers\externalities.py,C0301, line-too-long,2,0, , , , , , , , 
decide\model\observers\issue_development.py,R0915, too-many-statements,2,0, , , , , , , , 
decide\results\nashbargainingsolution.py,W0718, broad-exception-caught,3,0, , , , , , , , 
decide\model\randomrate.py,C0301, line-too-long,6,0, , , , , , , , 
decide\model\randomrate.py,R0912, too-many-branches,1,0, , , , , , , , 
decide\model\randomrate.py,W0401, wildcard-import,1,0, , , , , , , , 
