path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
freppledb\odoo\management\commands\odoo_import.py,C0301, line-too-long,1,1, , , , , , , , 
freppledb\input\serializers.py,C0302, too-many-lines,1,1, , , , , , , , 
freppledb\archive\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
freppledb\execute\management\commands\createmodel.py,R0912, too-many-branches,1,1, , , , , , , , 
freppledb\execute\management\commands\runwebserver.py,C0301, line-too-long,1,1, , , , , , , , 
freppledb\output\widget.py,C0302, too-many-lines,1,1, , , , , , , , 
freppledb\execute\management\commands\scenario_copy.py,R0912, too-many-branches,1,1, , , , , , , , 
freppledb\webservice\management\commands\stopwebservice.py,C0301, line-too-long,1,1, , , , , , , , 
freppledb\execute\commands.py,C0301, line-too-long,1,1, , , , , , , , 
freppledb\input\migrations\0062_parameter_fix_supply_path.py,C0301, line-too-long,1,1, , , , , , , , 
freppledb\webservice\commands.py,C0301, line-too-long,1,1, , , , , , , , 
freppledb\wizard\views.py,C0302, too-many-lines,1,1, , , , , , , , 
freppledb\common\auth.py,W0718, broad-exception-caught,2,1, , , , , , , , 
freppledb\execute\management\commands\migrate.py,W0718, broad-exception-caught,2,1, , , , , , , , 
freppledb\forecast\management\commands\forecast_simulation.py,R0912, too-many-branches,1,1, , , , , , , , 
freppledb\forecast\management\commands\measure_copy.py,R0915, too-many-statements,1,1, , , , , , , , 
freppledb\archive\migrations\0002_cascade_delete.py,C0301, line-too-long,2,1, , , , , , , , 
freppledb\execute\management\commands\importfromfolder.py,R0912, too-many-branches,1,1, , , , , , , , 
freppledb\input\views\capacity.py,C0302, too-many-lines,1,1, , , , , , , , 
freppledb\output\views\kpi.py,C0301, line-too-long,2,1, , , , , , , , 
freppledb\execute\management\commands\createfixture.py,R0912, too-many-branches,2,1, , , , , , , , 
freppledb\debugreport\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
