path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
dbaas\api\zabbix_disk_size_alert.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\logical\tasks.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\maintenance\tasks.py,R0915, too-many-statements,2,1, , , , , , , , 
dbaas\notification\models.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\account\migrations\0001_create_user_roles.py,W0104, pointless-statement,1,1, , , , , , , , 
dbaas\maintenance\migrations\0063_auto__add_field_databaseclone_current_step_class__add_field_hostmigrat.py,C0302, too-many-lines,1,1, , , , , , , , 
dbaas\backup\tasks.py,R1719, simplifiable-if-expression,2,1, , , , , , , , 
dbaas\physical\forms\parameter.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\account\templatetags\team.py,C0325, superfluous-parens,1,1, , , , , , , , 
dbaas\dbaas_services\analyzing\tasks\send_email.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\util\simple_health_check.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\drivers\mongodb.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
dbaas\maintenance\migrations\0078_auto__add_databaseconfigurestaticdbparams.py,C0302, too-many-lines,1,1, , , , , , , , 
dbaas\drivers\errors.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\logical\validators.py,W0301, unnecessary-semicolon,1,1, , , , , , , , 
dbaas\maintenance\task_configure_static_db_params.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\maintenance\admin\database_configure_static_db_params.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\maintenance\task_auto_upgrade_vm_offering.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\dbaas_services\analyzing\tasks\analyze.py,W0718, broad-exception-caught,2,1, , , , , , , , 
dbaas\maintenance\tasks_migrate.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\physical\models.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\tsuru\views\serviceRemove.py,R0911, too-many-return-statements,1,1, , , , , , , , 
dbaas\util\task_register.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\workflow\steps\util\k8s.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\workflow\settings.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\workflow\steps\util\vm.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\maintenance\scripts\restart_database.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\notification\util.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\physical\forms\instance_formset.py,R0912, too-many-branches,1,1, , , , , , , , 
dbaas\dbaas_services\analyzing\views.py,R0911, too-many-return-statements,1,1, , , , , , , , 
dbaas\workflow\steps\util\base.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\drivers\base.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\maintenance\models.py,C0325, superfluous-parens,1,1, , , , , , , , 
dbaas\notification\urls.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\workflow\steps\util\volume_provider.py,C0302, too-many-lines,1,1, , , , , , , , 
dbaas\notification\tasks.py,W0107,unnecessary-pass,1,1, , , , , , , , 
dbaas\notification\admin\task_history.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\workflow\steps\util\database.py,C0325, superfluous-parens,1,1, , , , , , , , 
dbaas\api\database_history.py,C0325, superfluous-parens,1,1, , , , , , , , 
dbaas\physical\factories\prometheus_exporter_factory.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\util\html.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\account\admin\team.py,R0912, too-many-branches,1,1, , , , , , , , 
dbaas\dbaas\settings.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
dbaas\drivers\mysqldb.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
dbaas\dashboard\templatetags\menu.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\workflow\steps\mongodb\util\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\workflow\workflow.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
dbaas\notification\scripts\script_mongo_log_rotate.py,R0915, too-many-statements,1,1, , , , , , , , 
dbaas\drivers\fake.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\api\plan.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\notification\management\commands\sync_celery.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\workflow\steps\util\vip_provider.py,C0302, too-many-lines,1,1, , , , , , , , 
dbaas\drivers\redis.py,W0718, broad-exception-caught,1,1, , , , , , , , 
dbaas\logical\views.py,C0302, too-many-lines,1,1, , , , , , , , 
dbaas\workflow\steps\util\host_provider.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\drivers\replication_topologies\mongodb.py,C0301, line-too-long,2,1, , , , , , , , 
dbaas\admin\templatetags\audit.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\api\renderers.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\logical\urls.py,C0301, line-too-long,1,1, , , , , , , , 
dbaas\account\admin\user.py,R0915, too-many-statements,1,1, , , , , , , , 
dbaas\maintenance\migrations\0077_auto__add_databaseconfiguredbparams.py,C0302, too-many-lines,1,1, , , , , , , , 
dbaas\tsuru\utils.py,R0911, too-many-return-statements,1,1, , , , , , , , 
dbaas\api\database.py,W0718, broad-exception-caught,1,1, , , , , , , , 
