path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
prompt_tuning\extended\perceptron\train\models.py,C0301, line-too-long,1,1, , , , , , , , 
prompt_tuning\train\layers.py,C0301, line-too-long,2,1, , , , , , , , 
prompt_tuning\train\models.py,C0301, line-too-long,1,1, , , , , , , , 
prompt_tuning\train\prompts.py,W0107,unnecessary-pass,1,1, , , , , , , , 
prompt_tuning\extended\multitask_prompts.py,C0301, line-too-long,1,1, , , , , , , , 
prompt_tuning\scripts\diff_checkpoints.py,R0912, too-many-branches,1,1, , , , , , , , 
prompt_tuning\recycling\recycle.py,W0107,unnecessary-pass,1,1, , , , , , , , 
prompt_tuning\train\__init__.py,R0801, duplicate-code,21,0, , , , , , , , 
prompt_tuning\scripts\diff_checkpoints.py,R0915, too-many-statements,1,0, , , , , , , , 
prompt_tuning\recycling\recycle.py,R0912, too-many-branches,1,0, , , , , , , , 
prompt_tuning\recycling\recycle.py,R0915, too-many-statements,1,0, , , , , , , , 
prompt_tuning\recycling\recycle.py,R1702, too-many-nested-blocks,2,0, , , , , , , , 
