path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
google-fhir-core\google\fhir\core\fhir_path\_ast.py,C0302, too-many-lines,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\utils\fhir_package.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_bigquery_interpreter.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathParser.py,W0401, wildcard-import,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\internal\_primitive_time_utils.py,C0325, superfluous-parens,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathVisitor.py,W0401, wildcard-import,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_spark_sql_functions.py,C0302, too-many-lines,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_sql_data_types.py,C0302, too-many-lines,1,1, , , , , , , , 
google-fhir-views\google\fhir\views\views.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-views\google\fhir\views\column_expression_builder.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_bigquery_sql_functions.py,C0302, too-many-lines,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\expressions.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\internal\json_format\wrappers\_primitive_wrappers.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathLexer.py,R0915, too-many-statements,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\utils\fhir_types.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_errors.py,W0107,unnecessary-pass,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_python_interpreter.py,W0107,unnecessary-pass,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\fhir_path_validator.py,R0911, too-many-return-statements,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_evaluation.py,C0302, too-many-lines,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\extensions.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-r4\google\fhir\r4\fhir_client\fhir_client.py,C0301, line-too-long,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_fhir_path_data_types.py,C0302, too-many-lines,1,1, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_ast.py,C0301, line-too-long,1,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathParser.py,C0302, too-many-lines,1,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathParser.py,R0911, too-many-return-statements,1,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathParser.py,R0912, too-many-branches,1,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathParser.py,R0915, too-many-statements,3,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathParser.py,W0107,unnecessary-pass,36,0, , , , , , , , 
google-fhir-core\google\fhir\core\internal\json_format\wrappers\_instant.py,C0301, line-too-long,3,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\expressions.py,R0911, too-many-return-statements,1,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\FhirPathLexer.py,W0401, wildcard-import,1,0, , , , , , , , 
google-fhir-views\google\fhir\views\__init__.py,R0801, duplicate-code,94,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_python_interpreter.py,R0911, too-many-return-statements,2,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\fhir_path_validator.py,C0301, line-too-long,2,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\fhir_path_validator.py,C0302, too-many-lines,1,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\fhir_path_validator.py,R0912, too-many-branches,3,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_evaluation.py,C0301, line-too-long,4,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_evaluation.py,R0911, too-many-return-statements,1,0, , , , , , , , 
google-fhir-core\google\fhir\core\fhir_path\_fhir_path_data_types.py,C0301, line-too-long,1,0, , , , , , , , 
