path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
tf_quant_finance\math\optimizer\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\math\optimizer\conjugate_gradient.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\datetime\date_tensor.py,R0911, too-many-return-statements,1,1, , , , , , , , 
tf_quant_finance\experimental\local_volatility\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\models\hjm\swaption_pricing.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\market_data\rate_curve.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\math\pde\steppers\douglas_adi.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\math\pde\steppers\explicit.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\models\heston\approximations\european_option.py,R0912, too-many-branches,1,1, , , , , , , , 
tf_quant_finance\models\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\math\pde\steppers\crank_nicolson.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\equity_instruments\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\math\interpolation\cubic\cubic_interpolation.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\black_scholes\brownian_bridge.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\models\hull_white\swaption.py,C0302, too-many-lines,1,1, , , , , , , , 
tf_quant_finance\models\sabr\approximations\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\forward_rate_agreement\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\interest_rate_swap\interest_rate_swap_impl.py,R0912, too-many-branches,1,1, , , , , , , , 
tf_quant_finance\datetime\daycounts.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\swaption\proto_utils.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\rates\nelson_seigel_svensson\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\black_scholes\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\experimental\svi\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\math\pde\fd_solvers.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\rates\hagan_west\monotone_convex.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\market_data\volatility_surface.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\market_data\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\market_data\market_data_impl.py,W0107,unnecessary-pass,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\cashflow_streams.py,C0302, too-many-lines,1,1, , , , , , , , 
tf_quant_finance\math\interpolation\linear\linear_interpolation.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\math\random_ops\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\math\pde\steppers\multidim_parabolic_equation_stepper.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\rates\analytics\cashflows.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\models\euler_sampling.py,R0912, too-many-branches,1,1, , , , , , , , 
tf_quant_finance\models\sabr\approximations\calibration.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\core\instrument.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\black_scholes\vanilla_prices.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\equity_instruments\utils.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\math\pde\steppers\implicit.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\equity_instruments\american_option\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\swaption\swaption_impl.py,W0107,unnecessary-pass,2,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\core\daycount_conventions.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\models\hjm\calibration.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\models\hull_white\vector_hull_white.py,R0912, too-many-branches,2,1, , , , , , , , 
tf_quant_finance\math\pde\steppers\parabolic_equation_stepper.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\experimental\local_stochastic_volatility\local_stochastic_volatility_model.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\models\hjm\quasi_gaussian_hjm.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\rates\swap_curve_fit.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\experimental\american_option_pricing\common.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\experimental\lsm_algorithm\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\forward_rate_agreement\forward_rate_agreement_impl.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\black_scholes\asian_prices.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\interest_rate_swap\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\black_scholes\implied_vol_newton_root.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\rate_instruments\swaption\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\experimental\local_stochastic_volatility\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tf_quant_finance\math\integration\adaptive_update.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\models\heston\approximations\calibration.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\rates\swap_curve_bootstrap.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\experimental\pricing_platform\framework\market_data\utils.py,C0301, line-too-long,1,1, , , , , , , , 
tf_quant_finance\black_scholes\implied_vol_approximation.py,C0325, superfluous-parens,1,1, , , , , , , , 
tf_quant_finance\models\heston\approximations\asian_prices.py,R0915, too-many-statements,1,1, , , , , , , , 
tf_quant_finance\math\optimizer\conjugate_gradient.py,R0915, too-many-statements,1,0, , , , , , , , 
tf_quant_finance\models\legacy\ito_process.py,W0107,unnecessary-pass,4,0, , , , , , , , 
