path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
Lib\ufo2ft\featureWriters\markFeatureWriter.py,C0302, too-many-lines,1,1, , , , , , , , 
Lib\ufo2ft\postProcessor.py,C0325, superfluous-parens,1,1, , , , , , , , 
Lib\ufo2ft\util.py,W0706, try-except-raise,1,1, , , , , , , , 
Lib\ufo2ft\instantiator.py,R0912, too-many-branches,2,1, , , , , , , , 
Lib\ufo2ft\featureWriters\baseFeatureWriter.py,R0912, too-many-branches,2,1, , , , , , , , 
Lib\ufo2ft\instructionCompiler.py,R0912, too-many-branches,1,1, , , , , , , , 
Lib\ufo2ft\_compilers\baseCompiler.py,R0912, too-many-branches,1,1, , , , , , , , 
Lib\ufo2ft\outlineCompiler.py,W0107,unnecessary-pass,1,1, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter2.py,C0302, too-many-lines,1,1, , , , , , , , 
Lib\ufo2ft\filters\base.py,W0107,unnecessary-pass,1,1, , , , , , , , 
Lib\ufo2ft\filters\propagateAnchors.py,R0912, too-many-branches,1,1, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter.py,C0302, too-many-lines,1,1, , , , , , , , 
Lib\ufo2ft\featureWriters\markFeatureWriter.py,R0912, too-many-branches,1,0, , , , , , , , 
Lib\ufo2ft\util.py,R0912, too-many-branches,1,0, , , , , , , , 
Lib\ufo2ft\util.py,R0915, too-many-statements,1,0, , , , , , , , 
Lib\ufo2ft\instantiator.py,C0302, too-many-lines,1,0, , , , , , , , 
Lib\ufo2ft\instantiator.py,R0915, too-many-statements,1,0, , , , , , , , 
Lib\ufo2ft\instantiator.py,W0718, broad-exception-caught,1,0, , , , , , , , 
Lib\ufo2ft\outlineCompiler.py,C0302, too-many-lines,1,0, , , , , , , , 
Lib\ufo2ft\outlineCompiler.py,R0912, too-many-branches,4,0, , , , , , , , 
Lib\ufo2ft\outlineCompiler.py,R0915, too-many-statements,5,0, , , , , , , , 
Lib\ufo2ft\outlineCompiler.py,R1703, simplifiable-if-statement,1,0, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter2.py,C0325, superfluous-parens,1,0, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter2.py,R0912, too-many-branches,2,0, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter2.py,R1702, too-many-nested-blocks,2,0, , , , , , , , 
Lib\ufo2ft\errors.py,W0107,unnecessary-pass,4,0, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter.py,C0325, superfluous-parens,1,0, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter.py,R0912, too-many-branches,3,0, , , , , , , , 
Lib\ufo2ft\featureWriters\kernFeatureWriter.py,R1702, too-many-nested-blocks,2,0, , , , , , , , 
