path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
hastexo\migrations\0007_add_delete_by_and_delete_age.py,C0301, line-too-long,2,1, , , , , , , , 
hastexo\openstack.py,C0301, line-too-long,1,1, , , , , , , , 
hastexo\jobs.py,W0718, broad-exception-caught,1,1, , , , , , , , 
hastexo\provider.py,R0912, too-many-branches,1,1, , , , , , , , 
hastexo\migrations\0006_auto_20200107_1332.py,C0301, line-too-long,2,1, , , , , , , , 
hastexo\hastexo.py,C0302, too-many-lines,1,1, , , , , , , , 
hastexo\tasks.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
hastexo\provider.py,C0325, superfluous-parens,2,0, , , , , , , , 
hastexo\provider.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
hastexo\provider.py,W0718, broad-exception-caught,1,0, , , , , , , , 
hastexo\hastexo.py,R0912, too-many-branches,3,0, , , , , , , , 
hastexo\hastexo.py,R0915, too-many-statements,2,0, , , , , , , , 
hastexo\tasks.py,R0912, too-many-branches,3,0, , , , , , , , 
hastexo\tasks.py,R0915, too-many-statements,2,0, , , , , , , , 
hastexo\tasks.py,W0718, broad-exception-caught,8,0, , , , , , , , 
