path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
examples\community\img2img_inpainting.py,R0912, too-many-branches,1,1, , , , , , , , 
scripts\convert_kakao_brain_unclip_to_diffusers.py,C0302, too-many-lines,1,1, , , , , , , , 
src\diffusers\loaders\single_file_utils.py,C0302, too-many-lines,1,1, , , , , , , , 
src\diffusers\models\modeling_utils.py,C0302, too-many-lines,1,1, , , , , , , , 
utils\notify_slack_about_release.py,C0301, line-too-long,1,1, , , , , , , , 
examples\kandinsky2_2\text_to_image\train_text_to_image_lora_prior.py,R0915, too-many-statements,1,1, , , , , , , , 
examples\research_projects\multi_subject_dreambooth_inpainting\train_multi_subject_dreambooth_inpainting.py,R0912, too-many-branches,1,1, , , , , , , , 
examples\text_to_image\train_text_to_image_lora.py,R0912, too-many-branches,1,1, , , , , , , , 
src\diffusers\models\modeling_flax_utils.py,R0915, too-many-statements,1,1, , , , , , , , 
src\diffusers\models\transformers\pixart_transformer_2d.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
src\diffusers\pipelines\controlnet\pipeline_controlnet_sd_xl.py,C0302, too-many-lines,1,1, , , , , , , , 
src\diffusers\pipelines\kandinsky2_2\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\diffusers\utils\constants.py,C0301, line-too-long,2,1, , , , , , , , 
examples\community\pipeline_stable_diffusion_3_differential_img2img.py,R0915, too-many-statements,1,1, , , , , , , , 
examples\community\sde_drag.py,R0915, too-many-statements,1,1, , , , , , , , 
src\diffusers\pipelines\marigold\pipeline_marigold_normals.py,R0912, too-many-branches,2,1, , , , , , , , 
src\diffusers\pipelines\pixart_alpha\pipeline_pixart_sigma.py,R0912, too-many-branches,2,1, , , , , , , , 
src\diffusers\pipelines\stable_audio\pipeline_stable_audio.py,R0915, too-many-statements,1,1, , , , , , , , 
src\diffusers\pipelines\stable_diffusion_3\pipeline_output.py,C0301, line-too-long,2,1, , , , , , , , 
src\diffusers\pipelines\stable_diffusion_xl\pipeline_stable_diffusion_xl.py,R0915, too-many-statements,2,1, , , , , , , , 
src\diffusers\pipelines\stable_diffusion_xl\pipeline_stable_diffusion_xl_instruct_pix2pix.py,R0912, too-many-branches,2,1, , , , , , , , 
examples\community\run_tensorrt_controlnet.py,R0912, too-many-branches,2,1, , , , , , , , 
examples\research_projects\rdm\pipeline_rdm.py,R0912, too-many-branches,1,1, , , , , , , , 
src\diffusers\pipelines\controlnet_xs\pipeline_controlnet_xs_sd_xl.py,C0302, too-many-lines,1,1, , , , , , , , 
src\diffusers\pipelines\pag\pipeline_pag_sd_animatediff.py,R0912, too-many-branches,2,1, , , , , , , , 
src\diffusers\pipelines\paint_by_example\image_encoder.py,C0301, line-too-long,1,1, , , , , , , , 
src\diffusers\pipelines\unclip\pipeline_unclip_image_variation.py,R0915, too-many-statements,1,1, , , , , , , , 
src\diffusers\models\unets\unet_motion_model.py,C0302, too-many-lines,1,1, , , , , , , , 
src\diffusers\pipelines\kandinsky2_2\pipeline_kandinsky2_2_img2img.py,R0915, too-many-statements,1,1, , , , , , , , 
