path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
trunk\experimental\sql\src\alg_to_ssa.py,C0325, superfluous-parens,1,1, , , , , , , , 
trunk\experimental\sql\tools\rel_opt.py,W0718, broad-exception-caught,1,1, , , , , , , , 
trunk\python\mlir\sandbox\nevergrad_searchable_strategies.py,W0401, wildcard-import,1,1, , , , , , , , 
jasc\transform_ops\_ods_common.py,C0301, line-too-long,1,1, , , , , , , , 
benchmarks\inner_product\run.py,W0107,unnecessary-pass,2,1, , , , , , , , 
jasc\dialect\_ods_common.py,C0301, line-too-long,1,1, , , , , , , , 
jasc\transform_ops\jasc_transform_ops.py,W0401, wildcard-import,2,1, , , , , , , , 
trunk\experimental\alp\python\alp\backend\transforms.py,W0401, wildcard-import,1,1, , , , , , , , 
trunk\python\mlir\sandbox\utils.py,C0325, superfluous-parens,1,1, , , , , , , , 
trunk\experimental\sql\dialects\ibis_dialect.py,C0301, line-too-long,2,1, , , , , , , , 
jasc\dialect\jasc.py,W0401, wildcard-import,2,1, , , , , , , , 
trunk\experimental\alp\alp\compile_op.py,R0915, too-many-statements,1,1, , , , , , , , 
trunk\older-python-benchmarks\conv\ops.py,C0302, too-many-lines,1,1, , , , , , , , 
python\mlir_structured\dialects\iterators.py,W0401, wildcard-import,2,1, , , , , , , , 
trunk\older-python-benchmarks\depthwise_conv\ops.py,W0401, wildcard-import,2,1, , , , , , , , 
trunk\tools\plot_benchmark.py,W0718, broad-exception-caught,1,1, , , , , , , , 
trunk\python\mlir\sandbox\compilation.py,W0104, pointless-statement,1,1, , , , , , , , 
trunk\experimental\sql\src\impl_to_iterators.py,C0301, line-too-long,2,1, , , , , , , , 
trunk\older-python-benchmarks\contraction\einsum.py,W0401, wildcard-import,2,1, , , , , , , , 
trunk\python\mlir\sandbox\transforms.py,W0401, wildcard-import,2,1, , , , , , , , 
trunk\configure.py,R0915, too-many-statements,1,1, , , , , , , , 
python\mlir_structured\dialects\substrait.py,C0325, superfluous-parens,1,1, , , , , , , , 
trunk\experimental\sql\src\ibis_frontend.py,C0325, superfluous-parens,1,1, , , , , , , , 
trunk\python\mlir\sandbox\nevergrad_parallel_utils.py,R0915, too-many-statements,2,1, , , , , , , , 
trunk\experimental\sql\src\projection_pushdown.py,R0911, too-many-return-statements,2,1, , , , , , , , 
trunk\experimental\alp\python\alp\backend\codegen.py,C0325, superfluous-parens,1,1, , , , , , , , 
