path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
keras_tuner\engine\base_tuner.py,W0718, broad-exception-caught,1,1, , , , , , , , 
keras_tuner\protos\v4\keras_tuner_pb2.py,C0301, line-too-long,1,1, , , , , , , , 
keras_tuner\protos\v3\keras_tuner_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
keras_tuner\engine\hyperparameters\hyperparameters.py,R0912, too-many-branches,1,1, , , , , , , , 
keras_tuner\engine\trial.py,R0911, too-many-return-statements,2,1, , , , , , , , 
keras_tuner\protos\v3\service_pb2.py,C0301, line-too-long,1,1, , , , , , , , 
keras_tuner\backend\keras.py,W0401, wildcard-import,2,1, , , , , , , , 
keras_tuner\backend\random.py,W0401, wildcard-import,2,1, , , , , , , , 
keras_tuner\engine\metrics_tracking.py,R0912, too-many-branches,1,1, , , , , , , , 
keras_tuner\protos\v4\service_pb2.py,C0301, line-too-long,1,1, , , , , , , , 
keras_tuner\backend\ops.py,W0401, wildcard-import,1,1, , , , , , , , 
keras_tuner\engine\base_tuner.py,W0107,unnecessary-pass,3,0, , , , , , , , 
keras_tuner\protos\v4\service_pb2_grpc.py,C0301, line-too-long,28,0, , , , , , , , 
keras_tuner\engine\tuner.py,W0107,unnecessary-pass,4,0, , , , , , , , 
keras_tuner\errors.py,W0107,unnecessary-pass,5,0, , , , , , , , 
shell\contributors.py,R0801, duplicate-code,37,0, , , , , , , , 
keras_tuner\protos\v3\service_pb2_grpc.py,C0301, line-too-long,28,0, , , , , , , , 
keras_tuner\engine\metrics_tracking.py,W0718, broad-exception-caught,1,0, , , , , , , , 
