path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
FuturesEtc\housestatus.py,C0301, line-too-long,1,1, , , , , , , , 
logsupport.py,R0915, too-many-statements,1,1, , , , , , , , 
configobjects.py,C0301, line-too-long,2,1, , , , , , , , 
debug.py,W0718, broad-exception-caught,2,1, , , , , , , , 
githubutil.py,R0915, too-many-statements,1,1, , , , , , , , 
hubs\ha\domains\inputnumber.py,W0718, broad-exception-caught,1,1, , , , , , , , 
hubs\ha\domains\scene.py,C0301, line-too-long,1,1, , , , , , , , 
stores\isyvarssupport.py,W0718, broad-exception-caught,2,1, , , , , , , , 
deprecated\sonosscreen.py,R0915, too-many-statements,1,1, , , , , , , , 
screens\specificscreens\weatherscreen.py,R0912, too-many-branches,1,1, , , , , , , , 
domanualdownload.py,W0107,unnecessary-pass,1,1, , , , , , , , 
hubs\ha\hasshub.py,C0302, too-many-lines,1,1, , , , , , , , 
hubs\ha\domains\inputselect.py,W0718, broad-exception-caught,1,1, , , , , , , , 
screens\maintscreen.py,R0915, too-many-statements,1,1, , , , , , , , 
localops.py,R0915, too-many-statements,1,1, , , , , , , , 
deprecated\thermostatscreenCommon.py,R0915, too-many-statements,1,1, , , , , , , , 
keys\keymodules\runprogram.py,C0301, line-too-long,2,1, , , , , , , , 
stores\haattraccess.py,W0718, broad-exception-caught,2,1, , , , , , , , 
getinstallinfo.py,W0718, broad-exception-caught,2,1, , , , , , , , 
hubs\ha\domains\sensor.py,R0915, too-many-statements,1,1, , , , , , , , 
historybuffer.py,R0912, too-many-branches,1,1, , , , , , , , 
deprecated\apixustore.py,C0301, line-too-long,2,1, , , , , , , , 
hubs\ha\domains\binarysensor.py,C0301, line-too-long,1,1, , , , , , , , 
hubs\ha\domains\ignore.py,C0301, line-too-long,1,1, , , , , , , , 
screens\specificscreens\keyscreen.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
alerts\configcheck.py,W0718, broad-exception-caught,2,1, , , , , , , , 
keys\keyspecs.py,C0301, line-too-long,1,1, , , , , , , , 
deprecated\wustore.py,R0911, too-many-return-statements,1,1, , , , , , , , 
deprecated\eventlist.py,C0325, superfluous-parens,1,1, , , , , , , , 
stores\mqttsupport.py,R0915, too-many-statements,2,1, , , , , , , , 
deprecated\timetempscreenX.py,R0912, too-many-branches,1,1, , , , , , , , 
hubs\ha\domains\inputboolean.py,W0718, broad-exception-caught,1,1, , , , , , , , 
screens\specificscreens\timetempscreen.py,R0915, too-many-statements,1,1, , , , , , , , 
deprecated\netcmd.py,R0912, too-many-branches,1,1, , , , , , , , 
touchhandler.py,R0912, too-many-branches,2,1, , , , , , , , 
console.py,R0912, too-many-branches,1,1, , , , , , , , 
alerts\networkhealth.py,W0718, broad-exception-caught,1,1, , , , , , , , 
FuturesEtc\mouseeventsinitial.py,R0915, too-many-statements,1,1, , , , , , , , 
deprecated\ConcoleStatus\showstatus.py,R0911, too-many-return-statements,1,1, , , , , , , , 
stores\genericweatherstore.py,R0911, too-many-return-statements,1,1, , , , , , , , 
stats.py,C0301, line-too-long,2,1, , , , , , , , 
alerts\lxpanelreset.py,W0718, broad-exception-caught,1,1, , , , , , , , 
deprecated\statusinput.py,C0325, superfluous-parens,1,1, , , , , , , , 
screens\screenutil.py,C0301, line-too-long,1,1, , , , , , , , 
deprecated\status.py,W0125,using-constant-test,1,1, , , , , , , , 
deprecated\thermostatscreenNest.py,R0915, too-many-statements,1,1, , , , , , , , 
hubs\ha\domains\fan.py,C0301, line-too-long,1,1, , , , , , , , 
hubs\hubs.py,C0301, line-too-long,1,1, , , , , , , , 
hubs\isy\isycodes.py,W0718, broad-exception-caught,1,1, , , , , , , , 
keys\keymodules\goto.py,C0301, line-too-long,1,1, , , , , , , , 
screens\supportscreens.py,R0915, too-many-statements,1,1, , , , , , , , 
deprecated\tempstoisy.py,C0301, line-too-long,1,1, , , , , , , , 
screens\screen.py,R0915, too-many-statements,1,1, , , , , , , , 
alerts\autoversion.py,W0718, broad-exception-caught,2,1, , , , , , , , 
consolestatus.py,W0718, broad-exception-caught,2,1, , , , , , , , 
screens\specificscreens\picscreen.py,R0915, too-many-statements,1,1, , , , , , , , 
hubs\isy\isyeventmonitor.py,W0718, broad-exception-caught,2,1, , , , , , , , 
config.py,C0301, line-too-long,2,1, , , , , , , , 
stores\valuestore.py,R0912, too-many-branches,1,1, , , , , , , , 
deprecated\setupconsole.py,C0301, line-too-long,1,1, , , , , , , , 
deprecated\weatherstore.py,W0718, broad-exception-caught,1,1, , , , , , , , 
keys\keymodules\onoff.py,W0718, broad-exception-caught,1,1, , , , , , , , 
keys\keymodules\setvar.py,W0718, broad-exception-caught,1,1, , , , , , , , 
runconsole.py,C0301, line-too-long,1,1, , , , , , , , 
FuturesEtc\setvarvalue.py,C0301, line-too-long,1,1, , , , , , , , 
hubs\ha\haremote.py,W0718, broad-exception-caught,2,1, , , , , , , , 
deprecated\pygamethread.py,W0718, broad-exception-caught,1,1, , , , , , , , 
hubs\ha\domains\thermostat.py,W0718, broad-exception-caught,1,1, , , , , , , , 
mypprint.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
hubs\ha\domains\cover.py,C0301, line-too-long,1,1, , , , , , , , 
issuecommands.py,C0325, superfluous-parens,2,1, , , , , , , , 
stores\paramstore.py,C0301, line-too-long,1,1, , , , , , , , 
alertsystem\triggers\nodechange.py,C0301, line-too-long,1,1, , , , , , , , 
deprecated\checkscreen.py,C0301, line-too-long,1,1, , , , , , , , 
keys\keymodules\setinput.py,C0301, line-too-long,2,1, , , , , , , , 
stores\missinghubstore.py,C0301, line-too-long,1,1, , , , , , , , 
alertsystem\alerttasks.py,W0718, broad-exception-caught,1,1, , , , , , , , 
hubs\isy\isy.py,R0911, too-many-return-statements,1,1, , , , , , , , 
screens\specificscreens\alertscreen.py,R0915, too-many-statements,1,1, , , , , , , , 
deprecated\__oldthermostat.py,C0301, line-too-long,1,1, , , , , , , , 
