path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
lib\setup.d\k_samba-users.py,C0301, line-too-long,1,1, , , , , , , , 
lib\setup.d\m_firewall.py,R0912, too-many-branches,1,1, , , , , , , , 
lib\functions.py,C0325, superfluous-parens,1,1, , , , , , , , 
lib\setup.d\a_ini.py,C0301, line-too-long,2,1, , , , , , , , 
lib\setup.d\z_final.py,C0301, line-too-long,1,1, , , , , , , , 
lib\setup.d\g_ssl.py,C0301, line-too-long,1,1, , , , , , , , 
lib\constants.py,C0301, line-too-long,1,1, , , , , , , , 
lib\setup.d\h_ssh.py,C0301, line-too-long,1,1, , , , , , , , 
lib\setup.d\j_samba-provisioning.py,C0301, line-too-long,3,0, , , , , , , , 
lib\setup.d\j_samba-provisioning.py,W0718, broad-exception-caught,11,0, , , , , , , , 
lib\setup.d\c_general-dialog.py,C0301, line-too-long,6,0, , , , , , , , 
lib\setup.d\k_samba-users.py,W0718, broad-exception-caught,10,0, , , , , , , , 
lib\setup.d\m_firewall.py,R0915, too-many-statements,1,0, , , , , , , , 
lib\functions.py,C0301, line-too-long,1,0, , , , , , , , 
lib\functions.py,C0302, too-many-lines,1,0, , , , , , , , 
lib\functions.py,R0912, too-many-branches,1,0, , , , , , , , 
lib\functions.py,R1703, simplifiable-if-statement,3,0, , , , , , , , 
lib\functions.py,W0718, broad-exception-caught,31,0, , , , , , , , 
share\firewall\opnsense\create-keytab.py,R0801, duplicate-code,13,0, , , , , , , , 
lib\setup.d\z_final.py,W0718, broad-exception-caught,6,0, , , , , , , , 
