path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\lib\feedparser\datetimes\perforce.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\feedparser\urls.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\google\cloud\logging_v2\types\log_entry.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\werkzeug\routing\matcher.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\werkzeug\sansio\request.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\lib\dateutil\tz\_common.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\lib\feedgen\ext\podcast.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\google\auth\metrics.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\logging\type\http_request_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\type\fraction_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\proto\_file_info.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\proto\marshal\rules\struct.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\lib\pyasn1\codec\cer\decoder.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\device_detector\parser\extractors.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\feedparser\parsers\strict.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\google\cloud\storage\_opentelemetry_tracing.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\protobuf\internal\api_implementation.py,W0107,unnecessary-pass,2,1, , , , , , , , 
src\lib\google\protobuf\timestamp_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\type\calendar_period_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\gunicorn\workers\ggevent.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\lib\idna\uts46data.py,C0302, too-many-lines,1,1, , , , , , , , 
src\lib\lxml\isoschematron\__init__.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\tweepy\models.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\google\cloud\storage\blob.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\pyasn1_modules\rfc2315.py,W0401, wildcard-import,1,1, , , , , , , , 
src\lib\charset_normalizer\cli\__main__.py,R0915, too-many-statements,1,1, , , , , , , , 
src\lib\google\auth\_refresh_worker.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\lib\grpc\beta\_client_adaptations.py,C0302, too-many-lines,1,1, , , , , , , , 
src\lib\jinja2\environment.py,C0302, too-many-lines,1,1, , , , , , , , 
src\lib\click\core.py,C0302, too-many-lines,1,1, , , , , , , , 
src\lib\feedparser\api.py,R0915, too-many-statements,1,1, , , , , , , , 
src\lib\flask\app.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\resumable_media\_helpers.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\google\rpc\context\audit_context_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\gunicorn\arbiter.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\itsdangerous\timed.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\lib\jinja2\runtime.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\lxml\html\soupparser.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\rsa\key.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\lib\feedgen\util.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\google\api\service_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\type\date_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\oauthlib\oauth2\rfc6749\clients\legacy_application.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\pyasn1\codec\ber\encoder.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\lib\device_detector\parser\client\dictua.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\lib\google\api_core\operations_v1\abstract_operations_client.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\google\cloud\logging_v2\client.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\google\cloud\storage\client.py,C0302, too-many-lines,1,1, , , , , , , , 
src\lib\gunicorn\workers\base.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\lib\opentelemetry\trace\span.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\opentelemetry\util\re.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\rsa\prime.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\lib\feedparser\encodings.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\google\api\context_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\api\label_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\api\source_info_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\cloud\storage\retry.py,C0301, line-too-long,1,1, , , , , , , , 
src\lib\google\type\interval_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\packaging\tags.py,R0912, too-many-branches,1,1, , , , , , , , 
src\lib\cachetools\__init__.py,R0915, too-many-statements,2,1, , , , , , , , 
src\lib\google\api\monitored_resource_pb2.py,C0301, line-too-long,2,1, , , , , , , , 
src\lib\google\cloud\logging_v2\types\logging_config.py,C0302, too-many-lines,1,1, , , , , , , , 
src\lib\gunicorn\config.py,C0302, too-many-lines,1,1, , , , , , , , 
src\lib\oauthlib\oauth1\rfc5849\endpoints\access_token.py,C0301, line-too-long,1,1, , , , , , , , 
