path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\monty\functools.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\monty\json.py,C0302, too-many-lines,1,1, , , , , , , , 
docs\conf.py,C0301, line-too-long,1,1, , , , , , , , 
src\monty\io.py,R0912, too-many-branches,1,1, , , , , , , , 
src\monty\subprocess.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\monty\serialization.py,R0912, too-many-branches,1,1, , , , , , , , 
src\monty\string.py,W0104, pointless-statement,1,1, , , , , , , , 
src\monty\termcolor.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\monty\json.py,R0911, too-many-return-statements,3,0, , , , , , , , 
src\monty\json.py,R0912, too-many-branches,3,0, , , , , , , , 
src\monty\json.py,R0915, too-many-statements,2,0, , , , , , , , 
src\monty\pprint.py,W0718, broad-exception-caught,3,0, , , , , , , , 
