path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
stubs\celery\__init__.pyi,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\profiles.py,R0912, too-many-branches,2,1, , , , , , , , 
ca\django_ca\migrations\0007_auto_20171119_1100.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\migrations\0008_auto_20171203_2001.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\extensions\text.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\pydantic\extensions.py,C0302, too-many-lines,1,1, , , , , , , , 
ca\django_ca\migrations\0002_auto_20170304_1434.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\migrations\0030_alter_certificateauthority_issuer_alt_name_and_more.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\migrations\0038_auto_20231228_1932.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\pydantic\general_name.py,R0912, too-many-branches,1,1, , , , , , , , 
stubs\django_object_actions.pyi,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\migrations\0011_auto_20181208_1708.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\management\commands\resign_cert.py,R0915, too-many-statements,1,1, , , , , , , , 
ca\django_ca\management\commands\import_ca.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\management\commands\init_ca.py,R0915, too-many-statements,1,1, , , , , , , , 
devscripts\commands\recreate_fixtures.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\acme\views.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\mypy.py,R0911, too-many-return-statements,1,1, , , , , , , , 
ca\django_ca\tasks.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\managers.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\migrations\0015_auto_20190518_1050.py,C0301, line-too-long,2,1, , , , , , , , 
ca\django_ca\utils.py,R0911, too-many-return-statements,1,1, , , , , , , , 
docs\source\include\config\setting_ca_storage_default.py,W0104, pointless-statement,1,1, , , , , , , , 
ca\django_ca\models.py,C0302, too-many-lines,1,1, , , , , , , , 
dev.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\admin.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\management\commands\edit_ca.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\management\commands\sign_cert.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\views.py,R0911, too-many-return-statements,1,1, , , , , , , , 
ca\django_ca\migrations\0023_auto_20210429_0000.py,W0107,unnecessary-pass,1,1, , , , , , , , 
ca\django_ca\migrations\0035_certificateorder.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\migrations\0043_auto_20240221_2153.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\management\commands\view_ca.py,R0912, too-many-branches,1,1, , , , , , , , 
devscripts\validation\docker_compose.py,R0915, too-many-statements,2,1, , , , , , , , 
docs\source\django_ca_sphinx\mapping_table.py,R0911, too-many-return-statements,2,1, , , , , , , , 
devscripts\commands\update_ca_data.py,R0915, too-many-statements,1,1, , , , , , , , 
devscripts\recreate_fixtures_helpers.py,R0915, too-many-statements,1,1, , , , , , , , 
ca\django_ca\migrations\0032_certificateauthority_ocsp_responder_key_validity_and_more.py,C0301, line-too-long,1,1, , , , , , , , 
ca\django_ca\extensions\parse.py,R0912, too-many-branches,1,1, , , , , , , , 
ca\django_ca\migrations\0004_auto_20170304_1442.py,C0301, line-too-long,1,1, , , , , , , , 
devscripts\validation\license_headers.py,C0301, line-too-long,6,0, , , , , , , , 
ca\django_ca\acme\responses.py,C0301, line-too-long,9,0, , , , , , , , 
ca\django_ca\management\mixins.py,C0301, line-too-long,11,0, , , , , , , , 
ca\django_ca\profiles.py,C0301, line-too-long,37,0, , , , , , , , 
ca\django_ca\pydantic\__init__.py,C0301, line-too-long,5,0, , , , , , , , 
