path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\widgets\sequential.py,R0912, too-many-branches,1,1, , , , , , , , 
src\sequence.py,R0915, too-many-statements,2,1, , , , , , , , 
src\channel_time.py,R0912, too-many-branches,2,1, , , , , , , , 
src\widgets\channel.py,R0915, too-many-statements,1,1, , , , , , , , 
src\sequence_edition.py,R0915, too-many-statements,2,1, , , , , , , , 
src\midi\notes.py,C0302, too-many-lines,1,1, , , , , , , , 
src\window_playback.py,R0915, too-many-statements,1,1, , , , , , , , 
src\window.py,R0915, too-many-statements,1,1, , , , , , , , 
src\virtual_console.py,R0912, too-many-branches,1,1, , , , , , , , 
src\widgets\sequential.py,R0915, too-many-statements,1,0, , , , , , , , 
src\sequence.py,R0912, too-many-branches,2,0, , , , , , , , 
src\widgets\channel.py,R0912, too-many-branches,1,0, , , , , , , , 
src\sequence_edition.py,R0912, too-many-branches,1,0, , , , , , , , 
src\window.py,R0912, too-many-branches,1,0, , , , , , , , 
src\virtual_console.py,C0302, too-many-lines,1,0, , , , , , , , 
src\virtual_console.py,R0915, too-many-statements,1,0, , , , , , , , 
