path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
engine\make_index.py,R0912, too-many-branches,1,1, , , , , , , , 
engine\page.py,W0107,unnecessary-pass,2,1, , , , , , , , 
engine\preprocessing.py,R0915, too-many-statements,1,1, , , , , , , , 
geekbookapp.py,R0912, too-many-branches,1,1, , , , , , , , 
engine\plugins\find_files.py,C0301, line-too-long,2,1, , , , , , , , 
engine\plugins\ia_writer.py,W0107,unnecessary-pass,1,1, , , , , , , , 
engine\plugins\draw_secondary_structure.py,C0301, line-too-long,1,1, , , , , , , , 
engine\process_md.py,R0915, too-many-statements,1,1, , , , , , , , 
engine\md_update.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
engine\plugins\insert_image.py,R0915, too-many-statements,1,1, , , , , , , , 
engine\topdf.py,R0912, too-many-branches,1,1, , , , , , , , 
engine\postprocessing.py,W0104, pointless-statement,1,1, , , , , , , , 
engine\make_tableofcontent.py,R0912, too-many-branches,2,1, , , , , , , , 
engine\searcher.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
engine\make_index.py,C0301, line-too-long,8,0, , , , , , , , 
engine\page.py,C0301, line-too-long,9,0, , , , , , , , 
engine\preprocessing.py,C0301, line-too-long,29,0, , , , , , , , 
engine\preprocessing.py,R0912, too-many-branches,4,0, , , , , , , , 
geekbooksync.py,C0301, line-too-long,5,0, , , , , , , , 
geekbookapp.py,C0301, line-too-long,10,0, , , , , , , , 
geekbookapp.py,R0915, too-many-statements,1,0, , , , , , , , 
geekbookapp.py,W0107,unnecessary-pass,1,0, , , , , , , , 
engine\plugins\ia_writer.py,C0301, line-too-long,1,0, , , , , , , , 
engine\plugins\__init__.py,R0801, duplicate-code,4,0, , , , , , , , 
engine\process_md.py,C0301, line-too-long,9,0, , , , , , , , 
engine\md_update.py,C0301, line-too-long,2,0, , , , , , , , 
engine\plugins\insert_image.py,C0301, line-too-long,31,0, , , , , , , , 
engine\plugins\insert_image.py,R0912, too-many-branches,1,0, , , , , , , , 
engine\plugins\insert_image.py,W0125,using-constant-test,1,0, , , , , , , , 
engine\topdf.py,C0301, line-too-long,9,0, , , , , , , , 
engine\topdf.py,R0915, too-many-statements,1,0, , , , , , , , 
engine\topdf.py,W0125,using-constant-test,1,0, , , , , , , , 
engine\postprocessing.py,C0301, line-too-long,6,0, , , , , , , , 
engine\postprocessing.py,C0325, superfluous-parens,4,0, , , , , , , , 
engine\webserverflask.py,C0301, line-too-long,13,0, , , , , , , , 
engine\make_tableofcontent.py,C0301, line-too-long,5,0, , , , , , , , 
engine\make_tableofcontent.py,R0915, too-many-statements,1,0, , , , , , , , 
engine\searcher.py,C0301, line-too-long,6,0, , , , , , , , 
engine\searcher.py,R0912, too-many-branches,1,0, , , , , , , , 
engine\searcher.py,R0915, too-many-statements,1,0, , , , , , , , 
engine\searcher.py,R1703, simplifiable-if-statement,1,0, , , , , , , , 
engine\searcher.py,W0104, pointless-statement,2,0, , , , , , , , 
