path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
run.py,R0912, too-many-branches,1,1, , , , , , , , 
modoboa_installer\database.py,C0301, line-too-long,1,1, , , , , , , , 
modoboa_installer\scripts\__init__.py,R0801, duplicate-code,2,1, , , , , , , , 
checks.py,C0301, line-too-long,1,1, , , , , , , , 
modoboa_installer\scripts\backup.py,C0301, line-too-long,1,1, , , , , , , , 
modoboa_installer\package.py,W0107,unnecessary-pass,1,1, , , , , , , , 
modoboa_installer\utils.py,R0912, too-many-branches,1,1, , , , , , , , 
modoboa_installer\scripts\modoboa.py,C0301, line-too-long,1,1, , , , , , , , 
modoboa_installer\ssl.py,W0107,unnecessary-pass,1,1, , , , , , , , 
run.py,C0301, line-too-long,1,0, , , , , , , , 
run.py,R0915, too-many-statements,1,0, , , , , , , , 
modoboa_installer\scripts\base.py,W0107,unnecessary-pass,4,0, , , , , , , , 
modoboa_installer\package.py,C0301, line-too-long,2,0, , , , , , , , 
modoboa_installer\utils.py,C0301, line-too-long,1,0, , , , , , , , 
modoboa_installer\utils.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
modoboa_installer\utils.py,W0107,unnecessary-pass,1,0, , , , , , , , 
