path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\ezdxf\entities\geodata.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\recover.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\entities\dxfentity.py,C0302, too-many-lines,1,1, , , , , , , , 
examples\megagrid.py,C0325, superfluous-parens,2,1, , , , , , , , 
src\ezdxf\comments.py,C0301, line-too-long,2,1, , , , , , , , 
src\ezdxf\entities\image.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\ezdxf\render\dim_linear.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
src\ezdxf\lldxf\fileindex.py,R0915, too-many-statements,1,1, , , , , , , , 
src\ezdxf\math\clipping.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\ezdxf\xref.py,C0301, line-too-long,1,1, , , , , , , , 
src\ezdxf\addons\drawing\pymupdf.py,C0301, line-too-long,1,1, , , , , , , , 
src\ezdxf\edgeminer.py,C0302, too-many-lines,1,1, , , , , , , , 
src\ezdxf\entities\dxfns.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\math\bspline.py,C0302, too-many-lines,1,1, , , , , , , , 
archive\tripy.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\render\abstract_mtext_renderer.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\sections\blocks.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\addons\drawing\hpgl2.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\ezdxf\math\perlin.py,R0915, too-many-statements,1,1, , , , , , , , 
src\ezdxf\sections\headervars.py,C0302, too-many-lines,1,1, , , , , , , , 
src\ezdxf\fonts\font_manager.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\ezdxf\fonts\font_measurements.py,C0301, line-too-long,1,1, , , , , , , , 
src\ezdxf\tools\binarydata.py,R0912, too-many-branches,1,1, , , , , , , , 
profiling\banded_matrix_solver.py,C0301, line-too-long,1,1, , , , , , , , 
src\ezdxf\sections\classes.py,C0301, line-too-long,1,1, , , , , , , , 
src\ezdxf\lldxf\tagger.py,R0915, too-many-statements,2,1, , , , , , , , 
src\ezdxf\path\converter.py,R0915, too-many-statements,1,1, , , , , , , , 
src\ezdxf\proxygraphic.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\addons\drawing\recorder.py,R0915, too-many-statements,1,1, , , , , , , , 
src\ezdxf\entities\acis.py,C0301, line-too-long,2,1, , , , , , , , 
src\ezdxf\entities\mtext.py,R0912, too-many-branches,2,1, , , , , , , , 
src\ezdxf\tools\standards.py,C0302, too-many-lines,1,1, , , , , , , , 
examples\addons\drawing\cad_viewer.py,C0301, line-too-long,2,1, , , , , , , , 
src\ezdxf\addons\dxf2code.py,R0912, too-many-branches,1,1, , , , , , , , 
src\ezdxf\render\dim_base.py,C0302, too-many-lines,1,1, , , , , , , , 
src\ezdxf\acis\mesh.py,R0912, too-many-branches,1,1, , , , , , , , 
