path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
plexapi\alert.py,W0718, broad-exception-caught,2,1, , , , , , , , 
plexapi\server.py,C0302, too-many-lines,1,1, , , , , , , , 
plexapi\settings.py,C0301, line-too-long,1,1, , , , , , , , 
plexapi\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
plexapi\base.py,R0911, too-many-return-statements,1,1, , , , , , , , 
plexapi\utils.py,R0912, too-many-branches,1,1, , , , , , , , 
plexapi\library.py,C0302, too-many-lines,1,1, , , , , , , , 
plexapi\myplex.py,R0912, too-many-branches,1,1, , , , , , , , 
tools\plex-download.py,C0301, line-too-long,2,1, , , , , , , , 
tools\plex-autodelete.py,W0718, broad-exception-caught,1,1, , , , , , , , 
plexapi\media.py,C0302, too-many-lines,1,1, , , , , , , , 
plexapi\mixins.py,C0302, too-many-lines,1,1, , , , , , , , 
plexapi\video.py,C0302, too-many-lines,1,1, , , , , , , , 
tools\plex-listsettings.py,R0912, too-many-branches,1,1, , , , , , , , 
tools\plex-listattrs.py,W0718, broad-exception-caught,2,1, , , , , , , , 
plexapi\playqueue.py,C0301, line-too-long,9,0, , , , , , , , 
plexapi\alert.py,C0301, line-too-long,4,0, , , , , , , , 
plexapi\sync.py,C0301, line-too-long,25,0, , , , , , , , 
plexapi\server.py,C0301, line-too-long,57,0, , , , , , , , 
plexapi\server.py,W0718, broad-exception-caught,1,0, , , , , , , , 
tools\plex-dummyfiles.py,C0301, line-too-long,5,0, , , , , , , , 
plexapi\playlist.py,C0301, line-too-long,27,0, , , , , , , , 
plexapi\audio.py,C0301, line-too-long,25,0, , , , , , , , 
tools\plex-backupwatched.py,C0301, line-too-long,4,0, , , , , , , , 
tools\version_bump.py,R0801, duplicate-code,18,0, , , , , , , , 
plexapi\photo.py,C0301, line-too-long,9,0, , , , , , , , 
plexapi\base.py,C0301, line-too-long,22,0, , , , , , , , 
plexapi\base.py,C0302, too-many-lines,1,0, , , , , , , , 
plexapi\utils.py,C0301, line-too-long,7,0, , , , , , , , 
plexapi\utils.py,R0911, too-many-return-statements,1,0, , , , , , , , 
plexapi\library.py,C0301, line-too-long,188,0, , , , , , , , 
plexapi\myplex.py,C0301, line-too-long,137,0, , , , , , , , 
plexapi\myplex.py,C0302, too-many-lines,1,0, , , , , , , , 
plexapi\myplex.py,R0915, too-many-statements,1,0, , , , , , , , 
plexapi\myplex.py,W0718, broad-exception-caught,4,0, , , , , , , , 
tools\plex-listtokens.py,C0301, line-too-long,5,0, , , , , , , , 
plexapi\media.py,C0301, line-too-long,9,0, , , , , , , , 
plexapi\mixins.py,C0301, line-too-long,17,0, , , , , , , , 
plexapi\exceptions.py,W0107,unnecessary-pass,7,0, , , , , , , , 
plexapi\video.py,C0301, line-too-long,55,0, , , , , , , , 
tools\plex-listsettings.py,C0301, line-too-long,2,0, , , , , , , , 
tools\plex-listattrs.py,C0301, line-too-long,6,0, , , , , , , , 
plexapi\client.py,C0301, line-too-long,8,0, , , , , , , , 
plexapi\collection.py,C0301, line-too-long,29,0, , , , , , , , 
