path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\poetry\core\constraints\generic\union_constraint.py,R0912, too-many-branches,2,1, , , , , , , , 
src\poetry\core\_vendor\tomli\_parser.py,R0912, too-many-branches,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\tools\serialize.py,C0301, line-too-long,2,1, , , , , , , , 
src\poetry\core\constraints\generic\multi_constraint.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\indenter.py,C0301, line-too-long,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\parsers\lalr_analysis.py,R0912, too-many-branches,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\parsers\earley.py,R0912, too-many-branches,1,1, , , , , , , , 
src\poetry\core\constraints\generic\constraint.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\poetry\core\constraints\version\parser.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\poetry\core\constraints\version\version_range.py,R0912, too-many-branches,2,1, , , , , , , , 
src\poetry\core\factory.py,R0915, too-many-statements,2,1, , , , , , , , 
src\poetry\core\packages\utils\utils.py,R0915, too-many-statements,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\lexer.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\poetry\core\_vendor\packaging\metadata.py,R0915, too-many-statements,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\ast_utils.py,W0107,unnecessary-pass,2,1, , , , , , , , 
src\poetry\core\_vendor\lark\grammar.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\parsers\grammar_analysis.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\lark.py,R0915, too-many-statements,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\parsers\lalr_parser.py,C0301, line-too-long,2,1, , , , , , , , 
src\poetry\core\constraints\version\version_constraint.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\__pyinstaller\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\tree_matcher.py,C0301, line-too-long,1,1, , , , , , , , 
src\poetry\core\packages\specification.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\poetry\core\_vendor\lark\load_grammar.py,R0915, too-many-statements,1,1, , , , , , , , 
