path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
sponsors\migrations\0087_auto_20220810_1647.py,C0301, line-too-long,1,1, , , , , , , , 
events\admin.py,C0301, line-too-long,1,1, , , , , , , , 
pydotorg\context_processors.py,C0301, line-too-long,1,1, , , , , , , , 
jobs\urls.py,C0301, line-too-long,1,1, , , , , , , , 
sponsors\notifications.py,C0301, line-too-long,2,1, , , , , , , , 
pydotorg\settings\local.py,W0401, wildcard-import,1,1, , , , , , , , 
sponsors\migrations\0092_auto_20220816_1517.py,C0301, line-too-long,1,1, , , , , , , , 
jobs\migrations\0017_auto_20180705_0348.py,C0301, line-too-long,2,1, , , , , , , , 
minutes\urls.py,C0301, line-too-long,1,1, , , , , , , , 
sponsors\migrations\0050_emailtargetable_emailtargetableconfiguration.py,C0301, line-too-long,2,1, , , , , , , , 
sponsors\migrations\0094_sponsorship_locked.py,C0325, superfluous-parens,1,1, , , , , , , , 
sponsors\migrations\0099_auto_20231224_1854.py,C0301, line-too-long,1,1, , , , , , , , 
users\models.py,W0104, pointless-statement,1,1, , , , , , , , 
jobs\migrations\0002_auto_20150211_1634.py,C0301, line-too-long,2,1, , , , , , , , 
pages\migrations\0002_auto_20150416_1853.py,C0301, line-too-long,1,1, , , , , , , , 
sponsors\migrations\0077_sponsorshipcurrentyear.py,C0301, line-too-long,2,1, , , , , , , , 
users\migrations\0009_auto_20170821_2000.py,C0301, line-too-long,1,1, , , , , , , , 
cms\management\commands\create_initial_data.py,C0301, line-too-long,1,1, , , , , , , , 
sponsors\migrations\0098_auto_20231219_1910.py,C0301, line-too-long,1,1, , , , , , , , 
events\management\commands\import_ics_calendars.py,C0301, line-too-long,1,1, , , , , , , , 
pages\migrations\0004_alter_page_creator_alter_page_last_modified_by.py,C0301, line-too-long,2,1, , , , , , , , 
successstories\urls.py,C0301, line-too-long,1,1, , , , , , , , 
pydotorg\resources.py,C0301, line-too-long,1,1, , , , , , , , 
pydotorg\settings\static.py,W0401, wildcard-import,1,1, , , , , , , , 
sponsors\migrations\0039_auto_20210827_1248.py,C0301, line-too-long,1,1, , , , , , , , 
sponsors\migrations\0028_auto_20210707_1426.py,C0301, line-too-long,1,1, , , , , , , , 
sponsors\migrations\0083_auto_20220729_1624.py,C0301, line-too-long,2,1, , , , , , , , 
sponsors\migrations\0090_auto_20220812_1314.py,C0301, line-too-long,2,1, , , , , , , , 
