path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
qgiscloud\metadata.py,R0912, too-many-branches,1,1, , , , , , , , 
qgiscloud\PGVectorLayerImport.py,R0915, too-many-statements,2,1, , , , , , , , 
qgiscloud\error_report_dialog.py,C0301, line-too-long,2,1, , , , , , , , 
qgiscloud\raster\raster_upload.py,R0912, too-many-branches,1,1, , , , , , , , 
qgiscloud\data_upload.py,R0912, too-many-branches,1,1, , , , , , , , 
qgiscloud\ui_qgiscloudplugin.py,W0401, wildcard-import,1,1, , , , , , , , 
qgiscloud\local_data_sources.py,R0912, too-many-branches,1,1, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,R1726, simplifiable-condition,1,1, , , , , , , , 
qgiscloud\qgiscloudapi\qgiscloudapi.py,W0401, wildcard-import,1,1, , , , , , , , 
qgiscloud\mapsettingsdialog.py,R0912, too-many-branches,1,1, , , , , , , , 
qgiscloud\qgiscloudplugin.py,C0301, line-too-long,2,1, , , , , , , , 
qgiscloud\db_connection_cfg.py,W0401, wildcard-import,1,1, , , , , , , , 
qgiscloud\ui_relation_size.py,C0301, line-too-long,1,1, , , , , , , , 
qgiscloud\db_connections.py,C0301, line-too-long,1,1, , , , , , , , 
qgiscloud\metadata.py,C0325, superfluous-parens,1,0, , , , , , , , 
qgiscloud\metadata.py,W0401, wildcard-import,1,0, , , , , , , , 
qgiscloud\PGVectorLayerImport.py,C0301, line-too-long,6,0, , , , , , , , 
qgiscloud\PGVectorLayerImport.py,R0911, too-many-return-statements,1,0, , , , , , , , 
qgiscloud\PGVectorLayerImport.py,R0912, too-many-branches,3,0, , , , , , , , 
qgiscloud\PGVectorLayerImport.py,W0401, wildcard-import,1,0, , , , , , , , 
qgiscloud\PGVectorLayerImport.py,W0718, broad-exception-caught,1,0, , , , , , , , 
qgiscloud\error_report_dialog.py,W0401, wildcard-import,1,0, , , , , , , , 
qgiscloud\raster\raster_upload.py,C0301, line-too-long,21,0, , , , , , , , 
qgiscloud\raster\raster_upload.py,R0915, too-many-statements,2,0, , , , , , , , 
qgiscloud\raster\raster_upload.py,W0301, unnecessary-semicolon,4,0, , , , , , , , 
qgiscloud\data_upload.py,C0301, line-too-long,28,0, , , , , , , , 
qgiscloud\data_upload.py,R0915, too-many-statements,1,0, , , , , , , , 
qgiscloud\data_upload.py,R1702, too-many-nested-blocks,2,0, , , , , , , , 
qgiscloud\data_upload.py,W0401, wildcard-import,1,0, , , , , , , , 
qgiscloud\data_upload.py,W0718, broad-exception-caught,5,0, , , , , , , , 
qgiscloud\ui_qgiscloudplugin.py,C0301, line-too-long,34,0, , , , , , , , 
qgiscloud\ui_qgiscloudplugin.py,R0915, too-many-statements,1,0, , , , , , , , 
qgiscloud\local_data_sources.py,C0301, line-too-long,4,0, , , , , , , , 
qgiscloud\local_data_sources.py,W0401, wildcard-import,1,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,C0301, line-too-long,40,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,C0302, too-many-lines,1,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,C0325, superfluous-parens,2,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,R0911, too-many-return-statements,1,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,R0912, too-many-branches,4,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,R0915, too-many-statements,5,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,W0104, pointless-statement,3,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,W0401, wildcard-import,2,0, , , , , , , , 
qgiscloud\qgiscloudplugindialog.py,W0718, broad-exception-caught,4,0, , , , , , , , 
qgiscloud\Ui_qgis3_warning_dialog.py,C0301, line-too-long,8,0, , , , , , , , 
qgiscloud\qgiscloudapi\qgiscloudapi.py,C0301, line-too-long,22,0, , , , , , , , 
qgiscloud\qgiscloudapi\qgiscloudapi.py,R0912, too-many-branches,1,0, , , , , , , , 
qgiscloud\qgiscloudapi\qgiscloudapi.py,R0915, too-many-statements,1,0, , , , , , , , 
qgiscloud\qgiscloudapi\qgiscloudapi.py,W0107,unnecessary-pass,10,0, , , , , , , , 
qgiscloud\qgiscloudapi\qgiscloudapi.py,W0718, broad-exception-caught,1,0, , , , , , , , 
qgiscloud\background_layers_menu.py,C0301, line-too-long,25,0, , , , , , , , 
qgiscloud\background_layers_menu.py,W0401, wildcard-import,4,0, , , , , , , , 
qgiscloud\mapsettingsdialog.py,C0301, line-too-long,1,0, , , , , , , , 
qgiscloud\mapsettingsdialog.py,W0401, wildcard-import,3,0, , , , , , , , 
qgiscloud\mapsettingsdialog.py,W0718, broad-exception-caught,1,0, , , , , , , , 
qgiscloud\qgiscloudplugin.py,W0401, wildcard-import,1,0, , , , , , , , 
qgiscloud\db_connections.py,W0104, pointless-statement,1,0, , , , , , , , 
qgiscloud\db_connections.py,W0401, wildcard-import,1,0, , , , , , , , 
