path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
semantic_release\version\version.py,R0911, too-many-return-statements,2,1, , , , , , , , 
semantic_release\hvcs\gitlab.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\cli\commands\generate_config.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\cli\commands\changelog.py,W0718, broad-exception-caught,1,1, , , , , , , , 
semantic_release\commit_parser\scipy.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\version\algorithm.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\hvcs\bitbucket.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\helpers.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\cli\config.py,R0912, too-many-branches,1,1, , , , , , , , 
semantic_release\const.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\cli\commands\version.py,W0718, broad-exception-caught,1,1, , , , , , , , 
semantic_release\gitproject.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\cli\masking_filter.py,C0301, line-too-long,1,1, , , , , , , , 
semantic_release\version\version.py,C0301, line-too-long,1,0, , , , , , , , 
semantic_release\hvcs\github.py,C0301, line-too-long,4,0, , , , , , , , 
semantic_release\cli\config.py,C0301, line-too-long,6,0, , , , , , , , 
semantic_release\cli\config.py,R0915, too-many-statements,1,0, , , , , , , , 
semantic_release\cli\commands\version.py,C0301, line-too-long,1,0, , , , , , , , 
semantic_release\cli\commands\version.py,R0912, too-many-branches,1,0, , , , , , , , 
semantic_release\cli\commands\version.py,R0915, too-many-statements,1,0, , , , , , , , 
