path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
.circleci\coverage_report.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\builder.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\third_party\requests\sessions.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\third_party\urllib3\packages\six.py,C0302, too-many-lines,1,1, , , , , , , , 
scalyr_agent\util.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\kubernetes_monitor.py,W0125,using-constant-test,1,1, , , , , , , , 
scripts\circleci_usage_data.py,W0125,using-constant-test,1,1, , , , , , , , 
pylint_plugins\py2exe_checker.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\third_party\pysmi\error.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\pysmi\writer\pyfile.py,W0718, broad-exception-caught,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\hlapi\varbinds.py,W0401, wildcard-import,1,1, , , , , , , , 
scalyr_agent\third_party\tcollector\collectors\0\ifstat.py,C0301, line-too-long,2,1, , , , , , , , 
scalyr_agent\third_party_tls\backports_ssl_match_hostname\backports\ssl_match_hostname\__init__.py,R0912, too-many-branches,1,1, , , , , , , , 
agent_build_refactored\utils\scripts\cicd\cleanup_ec2_objects.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\garbage_monitor.py,W0718, broad-exception-caught,1,1, , , , , , , , 
scalyr_agent\config_main.py,W0107,unnecessary-pass,1,1, , , , , , , , 
scalyr_agent\remote_shell.py,W0718, broad-exception-caught,2,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\compiler.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\mibs\RFC1158-MIB.py,C0301, line-too-long,2,1, , , , , , , , 
scalyr_agent\compat.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\copying_manager\copying_manager.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
scalyr_agent\third_party\dateutil\relativedelta.py,R0912, too-many-branches,2,1, , , , , , , , 
scalyr_agent\third_party\idna\idnadata.py,C0302, too-many-lines,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\carrier\asynsock\dgram\udp6.py,W0401, wildcard-import,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\linux_system_metrics.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\hlapi\asyncore\ntforg.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\hlapi\asyncore\sync\compat\cmdgen.py,R0915, too-many-statements,1,1, , , , , , , , 
scalyr_agent\platform_controller.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\third_party\dateutil\_common.py,C0325, superfluous-parens,1,1, , , , , , , , 
setup.py,R0912, too-many-branches,1,1, , , , , , , , 
.circleci\modernize\modernize.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\agent_main.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\apache_monitor.py,W0718, broad-exception-caught,2,1, , , , , , , , 
scalyr_agent\third_party\dateutil\tz\win.py,C0325, superfluous-parens,1,1, , , , , , , , 
scalyr_agent\instrumentation\timing.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\monitor_utils\blocking_rate_limiter.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\mibs\SNMPv2-CONF.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\pymysql\_auth.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\urllib3\util\url.py,C0325, superfluous-parens,1,1, , , , , , , , 
benchmarks\scripts\send_usage_data_to_codespeed.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\snmp_monitor.py,W0718, broad-exception-caught,1,1, , , , , , , , 
scalyr_agent\platform_linux.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\third_party\ply\yacc.py,C0325, superfluous-parens,1,1, , , , , , , , 
scalyr_agent\third_party\pymysql\connections.py,C0302, too-many-lines,1,1, , , , , , , , 
scalyr_agent\third_party\pysmi\reader\callback.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\entity\rfc3413\cmdrsp.py,R0915, too-many-statements,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\mibs\instances\__SNMP-MPD-MIB.py,C0301, line-too-long,2,1, , , , , , , , 
scripts\check-bundled-ca-certs-expirations.py,C0325, superfluous-parens,1,1, , , , , , , , 
scalyr_agent\third_party\dateutil\easter.py,C0325, superfluous-parens,1,1, , , , , , , , 
scalyr_agent\copying_manager\worker.py,W0718, broad-exception-caught,2,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\carrier\twisted\dispatch.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\urllib3\contrib\_securetransport\bindings.py,C0325, superfluous-parens,1,1, , , , , , , , 
scripts\circleci\upload_circleci_artifacts.py,W0125,using-constant-test,1,1, , , , , , , , 
benchmarks\scripts\print_compression_algorithm_results.py,R0915, too-many-statements,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\kubernetes_events_monitor.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\url_monitor.py,W0718, broad-exception-caught,2,1, , , , , , , , 
scalyr_agent\log_processing.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
scalyr_agent\instrumentation\decorators.py,C0301, line-too-long,2,1, , , , , , , , 
scalyr_agent\build_info.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\third_party\pysmi\writer\callback.py,C0301, line-too-long,1,1, , , , , , , , 
benchmarks\scripts\utils.py,W0125,using-constant-test,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\docker_monitor.py,R0915, too-many-statements,1,1, , , , , , , , 
scalyr_agent\third_party\pysmi\searcher\pypackage.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\proto\secmod\rfc3414\service.py,R0915, too-many-statements,2,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\mibs\SNMPv2-TM.py,C0301, line-too-long,2,1, , , , , , , , 
scripts\replay_payload.py,C0301, line-too-long,1,1, , , , , , , , 
agent_build_refactored\utils\docker\common.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\mysql_monitor.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\line_matcher.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\third_party\pysmi\reader\url.py,C0301, line-too-long,2,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\proto\mpmod\rfc3412.py,W0706, try-except-raise,1,1, , , , , , , , 
win32\dynamic_modules.py,C0301, line-too-long,2,1, , , , , , , , 
scalyr_agent\builtin_monitors\syslog_monitor.py,R0915, too-many-statements,2,1, , , , , , , , 
scalyr_agent\platform_posix.py,R0915, too-many-statements,1,1, , , , , , , , 
scalyr_agent\third_party\pyasn1\codec\ber\decoder.py,R0915, too-many-statements,2,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\proto\errind.py,C0301, line-too-long,2,1, , , , , , , , 
scalyr_agent\third_party\urllib3\response.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\third_party\urllib3\util\ssl_.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\builtin_monitors\windows_system_metrics.py,W0718, broad-exception-caught,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\proto\secmod\rfc2576.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\third_party\urllib3\util\ssl_match_hostname.py,R0912, too-many-branches,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\proto\acmod\void.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\mibs\instances\__SNMP-FRAMEWORK-MIB.py,C0301, line-too-long,2,1, , , , , , , , 
scalyr_agent\third_party\requests\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
scalyr_agent\third_party\dateutil\tz\tz.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
scalyr_agent\third_party\pysnmp\smi\mibs\TRANSPORT-ADDRESS-MIB.py,R0912, too-many-branches,1,1, , , , , , , , 
