path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\pendulum\locales\cs\locale.py,R1726, simplifiable-condition,2,1, , , , , , , , 
src\pendulum\locales\lt\locale.py,R0133, comparison-of-constants,2,1, , , , , , , , 
src\pendulum\parsing\iso8601.py,C0301, line-too-long,1,1, , , , , , , , 
src\pendulum\interval.py,R0916, too-many-boolean-expressions,1,1, , , , , , , , 
src\pendulum\parser.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\pendulum\_helpers.py,R0912, too-many-branches,1,1, , , , , , , , 
src\pendulum\locales\it\locale.py,R0133, comparison-of-constants,2,1, , , , , , , , 
src\pendulum\duration.py,C0301, line-too-long,1,1, , , , , , , , 
src\pendulum\locales\en_us\locale.py,R1726, simplifiable-condition,1,1, , , , , , , , 
src\pendulum\locales\en\locale.py,R0133, comparison-of-constants,2,1, , , , , , , , 
src\pendulum\tz\local_timezone.py,W0706, try-except-raise,1,1, , , , , , , , 
src\pendulum\formatting\difference_formatter.py,R0912, too-many-branches,1,1, , , , , , , , 
src\pendulum\locales\de\locale.py,R1726, simplifiable-condition,1,1, , , , , , , , 
src\pendulum\datetime.py,C0302, too-many-lines,1,1, , , , , , , , 
src\pendulum\formatting\formatter.py,R0915, too-many-statements,2,1, , , , , , , , 
src\pendulum\locales\en_gb\locale.py,R0133, comparison-of-constants,2,1, , , , , , , , 
src\pendulum\locales\nl\locale.py,R1726, simplifiable-condition,1,1, , , , , , , , 
src\pendulum\locales\sk\locale.py,R1726, simplifiable-condition,2,1, , , , , , , , 
src\pendulum\locales\sv\locale.py,R0133, comparison-of-constants,2,1, , , , , , , , 
src\pendulum\locales\da\locale.py,R1726, simplifiable-condition,1,1, , , , , , , , 
src\pendulum\locales\cs\locale.py,R0133, comparison-of-constants,6,0, , , , , , , , 
src\pendulum\locales\he\locale.py,R0133, comparison-of-constants,6,0, , , , , , , , 
src\pendulum\locales\he\locale.py,R1726, simplifiable-condition,3,0, , , , , , , , 
src\pendulum\locales\pl\locale.py,R0133, comparison-of-constants,10,0, , , , , , , , 
src\pendulum\locales\pl\locale.py,R1726, simplifiable-condition,3,0, , , , , , , , 
src\pendulum\parsing\iso8601.py,C0325, superfluous-parens,2,0, , , , , , , , 
src\pendulum\parsing\iso8601.py,R0912, too-many-branches,2,0, , , , , , , , 
src\pendulum\parsing\iso8601.py,R0915, too-many-statements,2,0, , , , , , , , 
src\pendulum\parsing\iso8601.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
src\pendulum\_helpers.py,R0915, too-many-statements,1,0, , , , , , , , 
src\pendulum\locales\it\locale.py,R1726, simplifiable-condition,1,0, , , , , , , , 
src\pendulum\locales\en_us\locale.py,R0133, comparison-of-constants,2,0, , , , , , , , 
src\pendulum\locales\en\locale.py,R1726, simplifiable-condition,1,0, , , , , , , , 
src\pendulum\tz\local_timezone.py,R0912, too-many-branches,1,0, , , , , , , , 
src\pendulum\formatting\difference_formatter.py,R0915, too-many-statements,1,0, , , , , , , , 
src\pendulum\locales\de\locale.py,R0133, comparison-of-constants,2,0, , , , , , , , 
src\pendulum\formatting\formatter.py,R0911, too-many-return-statements,1,0, , , , , , , , 
src\pendulum\formatting\formatter.py,R0912, too-many-branches,3,0, , , , , , , , 
src\pendulum\locales\en_gb\locale.py,R1726, simplifiable-condition,1,0, , , , , , , , 
src\pendulum\locales\ru\locale.py,R0133, comparison-of-constants,10,0, , , , , , , , 
src\pendulum\locales\ru\locale.py,R1726, simplifiable-condition,3,0, , , , , , , , 
src\pendulum\locales\nl\locale.py,R0133, comparison-of-constants,2,0, , , , , , , , 
src\pendulum\locales\sk\locale.py,R0133, comparison-of-constants,6,0, , , , , , , , 
src\pendulum\locales\sv\locale.py,R1726, simplifiable-condition,1,0, , , , , , , , 
src\pendulum\locales\da\locale.py,R0133, comparison-of-constants,2,0, , , , , , , , 
