path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
design\sgp4_parallel.py,C0301, line-too-long,1,1, , , , , , , , 
contrib\almanac2\almanac2_examples.py,C0301, line-too-long,1,1, , , , , , , , 
builders\build_arrays.py,C0302, too-many-lines,1,1, , , , , , , , 
design\calendar_matches.py,W0125,using-constant-test,1,1, , , , , , , , 
examples\comet_neowise_chart.py,C0325, superfluous-parens,1,1, , , , , , , , 
skyfield\keplerlib.py,R0915, too-many-statements,1,1, , , , , , , , 
builders\build_constellations.py,R0915, too-many-statements,1,1, , , , , , , , 
builders\logo.py,R0915, too-many-statements,1,1, , , , , , , , 
skyfield\functions.py,W0301, unnecessary-semicolon,1,1, , , , , , , , 
skyfield\projections.py,C0301, line-too-long,2,1, , , , , , , , 
skyfield\almanac.py,W0104, pointless-statement,1,1, , , , , , , , 
skyfield\iokit.py,R0915, too-many-statements,1,1, , , , , , , , 
contrib\almanac2\optimizelib.py,R0912, too-many-branches,1,1, , , , , , , , 
builders\strip_woff.py,C0301, line-too-long,1,1, , , , , , , , 
design\broadcasting.py,R0915, too-many-statements,1,1, , , , , , , , 
skyfield\eclipselib.py,R0915, too-many-statements,1,1, , , , , , , , 
skyfield\data\mpc.py,C0325, superfluous-parens,1,1, , , , , , , , 
design\time_precision.py,C0325, superfluous-parens,1,1, , , , , , , , 
design\sunrise.py,C0325, superfluous-parens,1,1, , , , , , , , 
skyfield\timelib.py,C0302, too-many-lines,1,1, , , , , , , , 
examples\venus_evening_chart.py,C0325, superfluous-parens,1,1, , , , , , , , 
design\calendar_matches.py,C0325, superfluous-parens,1,0, , , , , , , , 
skyfield\elementslib.py,C0325, superfluous-parens,11,0, , , , , , , , 
skyfield\keplerlib.py,C0301, line-too-long,7,0, , , , , , , , 
skyfield\keplerlib.py,C0325, superfluous-parens,10,0, , , , , , , , 
skyfield\almanac.py,C0325, superfluous-parens,1,0, , , , , , , , 
skyfield\iokit.py,C0325, superfluous-parens,1,0, , , , , , , , 
skyfield\iokit.py,R0912, too-many-branches,1,0, , , , , , , , 
contrib\almanac2\optimizelib.py,C0301, line-too-long,2,0, , , , , , , , 
contrib\almanac2\optimizelib.py,C0325, superfluous-parens,9,0, , , , , , , , 
contrib\almanac2\optimizelib.py,R0915, too-many-statements,2,0, , , , , , , , 
contrib\almanac2\optimizelib.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
design\broadcasting.py,W0104, pointless-statement,1,0, , , , , , , , 
design\broadcasting.py,W0125,using-constant-test,2,0, , , , , , , , 
design\sunrise.py,W0125,using-constant-test,2,0, , , , , , , , 
skyfield\timelib.py,C0325, superfluous-parens,1,0, , , , , , , , 
contrib\almanac2\almanac2.py,C0301, line-too-long,6,0, , , , , , , , 
skyfield\nutationlib.py,C0325, superfluous-parens,8,0, , , , , , , , 
