path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
splunklib\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
splunklib\six.py,C0301, line-too-long,2,1, , , , , , , , 
splunklib\client.py,R0915, too-many-statements,1,1, , , , , , , , 
splunklib\results.py,R0912, too-many-branches,1,1, , , , , , , , 
splunklib\binding.py,W0718, broad-exception-caught,2,1, , , , , , , , 
splunklib\searchcommands\environment.py,R0912, too-many-branches,1,1, , , , , , , , 
splunklib\modularinput\scheme.py,C0301, line-too-long,1,1, , , , , , , , 
splunklib\modularinput\script.py,R0911, too-many-return-statements,1,1, , , , , , , , 
splunklib\searchcommands\search_command.py,R0912, too-many-branches,1,1, , , , , , , , 
splunklib\searchcommands\external_search_command.py,R0911, too-many-return-statements,1,1, , , , , , , , 
splunklib\searchcommands\internals.py,R0912, too-many-branches,1,1, , , , , , , , 
splunklib\modularinput\argument.py,C0301, line-too-long,4,0, , , , , , , , 
splunklib\searchcommands\generating_command.py,C0301, line-too-long,77,0, , , , , , , , 
splunklib\six.py,R0912, too-many-branches,1,0, , , , , , , , 
splunklib\client.py,C0301, line-too-long,60,0, , , , , , , , 
splunklib\client.py,C0302, too-many-lines,1,0, , , , , , , , 
splunklib\client.py,C0325, superfluous-parens,1,0, , , , , , , , 
splunklib\client.py,R0912, too-many-branches,2,0, , , , , , , , 
splunklib\client.py,W0104, pointless-statement,3,0, , , , , , , , 
splunklib\client.py,W0718, broad-exception-caught,1,0, , , , , , , , 
splunklib\searchcommands\streaming_command.py,C0301, line-too-long,10,0, , , , , , , , 
utils\__init__.py,R0801, duplicate-code,11,0, , , , , , , , 
splunklib\searchcommands\reporting_command.py,C0301, line-too-long,13,0, , , , , , , , 
splunklib\results.py,C0301, line-too-long,1,0, , , , , , , , 
splunklib\binding.py,C0301, line-too-long,16,0, , , , , , , , 
splunklib\binding.py,C0302, too-many-lines,1,0, , , , , , , , 
splunklib\modularinput\event.py,C0301, line-too-long,4,0, , , , , , , , 
splunklib\searchcommands\__init__.py,C0301, line-too-long,7,0, , , , , , , , 
splunklib\searchcommands\environment.py,C0301, line-too-long,8,0, , , , , , , , 
splunklib\modularinput\script.py,W0718, broad-exception-caught,2,0, , , , , , , , 
splunklib\searchcommands\eventing_command.py,C0301, line-too-long,5,0, , , , , , , , 
splunklib\searchcommands\search_command.py,C0301, line-too-long,59,0, , , , , , , , 
splunklib\searchcommands\search_command.py,C0302, too-many-lines,1,0, , , , , , , , 
splunklib\searchcommands\search_command.py,R0915, too-many-statements,1,0, , , , , , , , 
splunklib\searchcommands\validators.py,C0301, line-too-long,13,0, , , , , , , , 
splunklib\searchcommands\decorators.py,C0301, line-too-long,23,0, , , , , , , , 
splunklib\searchcommands\external_search_command.py,C0301, line-too-long,9,0, , , , , , , , 
splunklib\searchcommands\internals.py,C0301, line-too-long,31,0, , , , , , , , 
splunklib\searchcommands\internals.py,R0915, too-many-statements,1,0, , , , , , , , 
splunklib\searchcommands\internals.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
