path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
wandbox\__lua__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__status__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__r__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__ghc__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__swift__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\utils.py,W0718, broad-exception-caught,1,1, , , , , , , , 
wandbox\__cpp__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__elixir__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\wrapper.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__crystal__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__perl__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\wandbox.py,W0718, broad-exception-caught,1,1, , , , , , , , 
wandbox\__tsc__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__dub__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__sql__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__pony__.py,R0912, too-many-branches,1,1, , , , , , , , 
wandbox\__cc__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__ruby__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__groovy__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__bash__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__scala__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__rust__.py,R0912, too-many-branches,1,1, , , , , , , , 
wandbox\__cxx__.py,C0301, line-too-long,2,1, , , , , , , , 
wandbox\__python__.py,C0301, line-too-long,2,1, , , , , , , , 
wandbox\cli.py,R0915, too-many-statements,1,1, , , , , , , , 
wandbox\__nim__.py,C0301, line-too-long,2,1, , , , , , , , 
wandbox\__cmake__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__julia__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__go__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__js__.py,C0301, line-too-long,2,1, , , , , , , , 
wandbox\__php__.py,C0301, line-too-long,2,1, , , , , , , , 
wandbox\__zig__.py,C0301, line-too-long,1,1, , , , , , , , 
wandbox\__pascal__.py,C0301, line-too-long,2,1, , , , , , , , 
wandbox\runner.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
wandbox\utils.py,C0301, line-too-long,1,0, , , , , , , , 
wandbox\wrapper.py,R0912, too-many-branches,1,0, , , , , , , , 
wandbox\wrapper.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
wandbox\wandbox.py,C0301, line-too-long,3,0, , , , , , , , 
wandbox\wandbox.py,W0706, try-except-raise,1,0, , , , , , , , 
wandbox\__sql__.py,W0718, broad-exception-caught,1,0, , , , , , , , 
wandbox\__pony__.py,C0301, line-too-long,1,0, , , , , , , , 
wandbox\__coffee__.py,C0301, line-too-long,3,0, , , , , , , , 
wandbox\__rust__.py,C0301, line-too-long,1,0, , , , , , , , 
wandbox\__python__.py,R1702, too-many-nested-blocks,2,0, , , , , , , , 
wandbox\cli.py,C0301, line-too-long,8,0, , , , , , , , 
wandbox\cli.py,W0718, broad-exception-caught,1,0, , , , , , , , 
wandbox\__nim__.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
wandbox\__zig__.py,R0801, duplicate-code,45,0, , , , , , , , 
