path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
apps\templates\content_templates.py,W0718, broad-exception-caught,2,1, , , , , , , , 
superdesk\audit\audit.py,C0301, line-too-long,1,1, , , , , , , , 
superdesk\locators\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
apps\content_filters\filter_condition\filter_condition_field.py,R0911, too-many-return-statements,1,1, , , , , , , , 
apps\publish\formatters\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
apps\templates\filters.py,C0301, line-too-long,2,1, , , , , , , , 
superdesk\auth\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
superdesk\data_updates\00006_20171124-195408_content_types.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
apps\archive\archive_media.py,W0718, broad-exception-caught,1,1, , , , , , , , 
features\environment.py,W0401, wildcard-import,1,1, , , , , , , , 
superdesk\io\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
superdesk\io\ingest.py,C0301, line-too-long,2,1, , , , , , , , 
apps\item_lock\models\item.py,C0301, line-too-long,1,1, , , , , , , , 
apps\rules\rule_handlers.py,W0718, broad-exception-caught,2,1, , , , , , , , 
superdesk\auth\saml.py,C0301, line-too-long,2,1, , , , , , , , 
superdesk\commands\remove_exported_files.py,C0301, line-too-long,1,1, , , , , , , , 
apps\products\resource.py,C0301, line-too-long,1,1, , , , , , , , 
apps\rundowns\tasks.py,W0718, broad-exception-caught,1,1, , , , , , , , 
content_api\api_audit\service.py,C0301, line-too-long,1,1, , , , , , , , 
prod_api\app\settings.py,C0301, line-too-long,1,1, , , , , , , , 
superdesk\celery_app.py,W0718, broad-exception-caught,2,1, , , , , , , , 
superdesk\data_updates.py,C0301, line-too-long,1,1, , , , , , , , 
superdesk\io\feeding_services\email.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
superdesk\io\feeding_services\twitter.py,R0912, too-many-branches,1,1, , , , , , , , 
superdesk\utc.py,C0301, line-too-long,2,1, , , , , , , , 
apps\publish\enqueue\enqueue_service.py,R0915, too-many-statements,1,1, , , , , , , , 
superdesk\commands\data_manipulation.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
superdesk\publish\publish_queue.py,C0301, line-too-long,2,1, , , , , , , , 
superdesk\users\users.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
apps\archive\archive_rewrite.py,R0912, too-many-branches,1,1, , , , , , , , 
apps\publish\enqueue\__init__.py,W0718, broad-exception-caught,1,1, , , , , , , , 
superdesk\data_updates\00008_20180404-165521_archive.py,C0301, line-too-long,2,1, , , , , , , , 
apps\archive\__init__.py,R0915, too-many-statements,1,1, , , , , , , , 
apps\dictionaries\resource.py,C0301, line-too-long,1,1, , , , , , , , 
apps\rundowns\shows.py,C0301, line-too-long,1,1, , , , , , , , 
apps\picture_renditions.py,C0301, line-too-long,2,1, , , , , , , , 
superdesk\io\feed_parsers\stt_newsml.py,R0915, too-many-statements,1,1, , , , , , , , 
superdesk\io\webhooks\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
superdesk\publish\formatters\idml_formatter\package\stories\story_list.py,C0301, line-too-long,2,1, , , , , , , , 
superdesk\publish\publish_content.py,W0718, broad-exception-caught,2,1, , , , , , , , 
