path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
research\instahide_attack_2020\step_4_final_graph.py,C0325, superfluous-parens,1,1, , , , , , , , 
research\instahide_attack_2020\step_3_second_graph.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_privacy\privacy\keras_models\dp_keras_model.py,C0301, line-too-long,1,1, , , , , , , , 
research\pate_2018\ICLR2018\rdp_cumulative.py,R0915, too-many-statements,1,1, , , , , , , , 
tensorflow_privacy\privacy\fast_gradient_clipping\registry_functions\nlp_on_device_embedding.py,C0301, line-too-long,1,1, , , , , , , , 
research\pate_2018\ICLR2018\utility_queries_answered.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer_keras_sparse.py,R0915, too-many-statements,1,1, , , , , , , , 
research\hyperparameters_2022\figure7.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_privacy\privacy\membership_inference_attack\tf_estimator_evaluation.py,C0301, line-too-long,1,1, , , , , , , , 
research\pate_2017\deep_cnn.py,R0915, too-many-statements,1,1, , , , , , , , 
tensorflow_privacy\privacy\fast_gradient_clipping\registry_functions\embedding.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer.py,R0915, too-many-statements,2,1, , , , , , , , 
research\pate_2018\ICLR2018\plot_partition.py,R0915, too-many-statements,1,1, , , , , , , , 
tensorflow_privacy\privacy\estimators\v1\head.py,R0912, too-many-branches,2,1, , , , , , , , 
tensorflow_privacy\privacy\optimizers\clip_and_aggregate_gradients.py,R0912, too-many-branches,1,1, , , , , , , , 
research\pate_2018\ICLR2018\rdp_bucketized.py,R0915, too-many-statements,1,1, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer_keras.py,R0915, too-many-statements,1,1, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer_keras_vectorized.py,R0915, too-many-statements,1,1, , , , , , , , 
research\neuracrypt_attack_2021\attack.py,W0125,using-constant-test,2,1, , , , , , , , 
tensorflow_privacy\privacy\fast_gradient_clipping\layer_registry.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_privacy\privacy\membership_inference_attack\membership_inference_attack.py,C0301, line-too-long,1,1, , , , , , , , 
tutorials\walkthrough\mnist_scratch.py,R0801, duplicate-code,226,0, , , , , , , , 
tensorflow_privacy\privacy\dp_query\dp_query.py,W0107,unnecessary-pass,4,0, , , , , , , , 
tensorflow_privacy\privacy\keras_models\dp_keras_model.py,R0915, too-many-statements,1,0, , , , , , , , 
research\instahide_attack_2020\step_5_reconstruct.py,C0301, line-too-long,6,0, , , , , , , , 
research\mi_lira_2021\dataset.py,C0301, line-too-long,6,0, , , , , , , , 
research\pate_2017\analysis.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer_keras_sparse.py,C0301, line-too-long,1,0, , , , , , , , 
tensorflow_privacy\__init__.py,C0301, line-too-long,20,0, , , , , , , , 
research\instahide_attack_2020\step_1_create_graph.py,C0301, line-too-long,3,0, , , , , , , , 
research\pate_2017\train_student.py,C0301, line-too-long,8,0, , , , , , , , 
research\pate_2017\deep_cnn.py,C0301, line-too-long,1,0, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer.py,C0301, line-too-long,1,0, , , , , , , , 
tensorflow_privacy\privacy\estimators\v1\head.py,R0915, too-many-statements,2,0, , , , , , , , 
tensorflow_privacy\privacy\optimizers\clip_and_aggregate_gradients.py,R0915, too-many-statements,1,0, , , , , , , , 
tensorflow_privacy\v1\__init__.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer_keras.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_privacy\privacy\optimizers\dp_optimizer_keras_vectorized.py,C0301, line-too-long,1,0, , , , , , , , 
research\neuracrypt_attack_2021\attack.py,C0301, line-too-long,7,0, , , , , , , , 
research\neuracrypt_attack_2021\attack.py,C0325, superfluous-parens,4,0, , , , , , , , 
