path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
benchmark\supervised\components\augmentations.py,C0301, line-too-long,1,1, , , , , , , , 
benchmark\supervised\hyper_parameter_search.py,R0912, too-many-branches,1,1, , , , , , , , 
tensorflow_similarity\types.py,R0911, too-many-return-statements,1,1, , , , , , , , 
tensorflow_similarity\algebra.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\distances\distance.py,C0301, line-too-long,1,1, , , , , , , , 
benchmark\supervised\components\metrics.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\search\search.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\stores\memory.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\architectures\resnet50.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\stores\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\augmenters\simclr.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\samplers\samplers.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
tensorflow_similarity\classification_metrics\utils.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\search\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\classification_metrics\f1_score.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\losses\metric_loss.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\samplers\tfdataset_samplers.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\losses\lifted_structure_loss.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\classification_metrics\recall.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\visualization\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
benchmark\supervised\create_datasets.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\matchers\match_nearest.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\stores\redis.py,C0301, line-too-long,2,1, , , , , , , , 
benchmark\supervised\train.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\training_metrics\distance_metrics.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\evaluators\memory_evaluator.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\architectures\efficientnet.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\visualization\projector.py,R0912, too-many-branches,1,1, , , , , , , , 
scripts\gen_api_doc.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\callbacks.py,R0915, too-many-statements,1,1, , , , , , , , 
tensorflow_similarity\search\nmslib.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
tensorflow_similarity\matchers\match_majority_vote.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\visualization\confusion_matrix_viz.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\classification_metrics\negative_predictive_value.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\distances\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\models\contrastive_model.py,C0302, too-many-lines,1,1, , , , , , , , 
tensorflow_similarity\samplers\tfdata_sampler.py,C0301, line-too-long,2,1, , , , , , , , 
tensorflow_similarity\stores\cached.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\classification_metrics\binary_accuracy.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\classification_metrics\classification_metric.py,C0301, line-too-long,2,1, , , , , , , , 
benchmark\supervised\components\datasets\dataset.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\losses\circle_loss.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_similarity\losses\vicreg.py,C0301, line-too-long,1,1, , , , , , , , 
benchmark\supervised\components\datasets\tfds.py,C0301, line-too-long,5,0, , , , , , , , 
benchmark\supervised\hyper_parameter_search.py,C0301, line-too-long,3,0, , , , , , , , 
benchmark\supervised\hyper_parameter_search.py,R0915, too-many-statements,1,0, , , , , , , , 
tensorflow_similarity\schedules.py,C0301, line-too-long,4,0, , , , , , , , 
tensorflow_similarity\types.py,W0107,unnecessary-pass,2,0, , , , , , , , 
tensorflow_similarity\layers.py,C0301, line-too-long,8,0, , , , , , , , 
tensorflow_similarity\samplers\samplers.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_similarity\distances\euclidean.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_similarity\samplers\tfrecords_samplers.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_similarity\samplers\memory_samplers.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_similarity\stores\store.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_similarity\losses\simclr.py,C0301, line-too-long,5,0, , , , , , , , 
tensorflow_similarity\search\linear.py,C0301, line-too-long,4,0, , , , , , , , 
tensorflow_similarity\indexer.py,C0301, line-too-long,3,0, , , , , , , , 
benchmark\supervised\train.py,R0912, too-many-branches,1,0, , , , , , , , 
benchmark\supervised\train.py,R0915, too-many-statements,1,0, , , , , , , , 
tensorflow_similarity\visualization\projector.py,R0915, too-many-statements,1,0, , , , , , , , 
tensorflow_similarity\callbacks.py,C0301, line-too-long,1,0, , , , , , , , 
tensorflow_similarity\search\nmslib.py,C0301, line-too-long,5,0, , , , , , , , 
tensorflow_similarity\base_indexer.py,C0301, line-too-long,4,0, , , , , , , , 
tensorflow_similarity\models\contrastive_model.py,C0301, line-too-long,6,0, , , , , , , , 
tensorflow_similarity\models\similarity_model.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_similarity\matchers\classification_match.py,C0301, line-too-long,8,0, , , , , , , , 
tensorflow_similarity\architectures\resnet18.py,C0301, line-too-long,3,0, , , , , , , , 
tensorflow_similarity\augmenters\augmentation_utils\cropping.py,C0301, line-too-long,5,0, , , , , , , , 
tensorflow_similarity\search\faiss.py,C0301, line-too-long,4,0, , , , , , , , 
