path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
tensorflow_transform\coders\csv_coder.py,C0325, superfluous-parens,1,1, , , , , , , , 
tensorflow_transform\tf_utils.py,C0302, too-many-lines,1,1, , , , , , , , 
tensorflow_transform\tf_metadata\schema_utils.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_transform\pretrained_models.py,R0912, too-many-branches,1,1, , , , , , , , 
tensorflow_transform\beam\impl.py,R0912, too-many-branches,1,1, , , , , , , , 
tensorflow_transform\impl_helper.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_transform\analyzer_nodes.py,C0302, too-many-lines,1,1, , , , , , , , 
tensorflow_transform\mappers.py,C0302, too-many-lines,1,1, , , , , , , , 
tensorflow_transform\coders\example_proto_coder.py,R0912, too-many-branches,1,1, , , , , , , , 
tensorflow_transform\gaussianization.py,R0915, too-many-statements,1,1, , , , , , , , 
tensorflow_transform\saved\saved_transform_io.py,R0915, too-many-statements,1,1, , , , , , , , 
examples\sentiment_example_v2.py,C0325, superfluous-parens,1,1, , , , , , , , 
tensorflow_transform\tf_metadata\dataset_metadata.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_transform\output_wrapper.py,W0107,unnecessary-pass,1,1, , , , , , , , 
tensorflow_transform\beam\analyzer_impls.py,C0325, superfluous-parens,1,1, , , , , , , , 
examples\simple_example.py,C0325, superfluous-parens,1,1, , , , , , , , 
tensorflow_transform\analyzers.py,C0301, line-too-long,1,1, , , , , , , , 
tensorflow_transform\beam\impl.py,C0302, too-many-lines,1,0, , , , , , , , 
tensorflow_transform\beam\impl.py,R0915, too-many-statements,1,0, , , , , , , , 
tensorflow_transform\nodes.py,W0107,unnecessary-pass,3,0, , , , , , , , 
tensorflow_transform\analyzer_nodes.py,W0107,unnecessary-pass,1,0, , , , , , , , 
tensorflow_transform\mappers.py,W0107,unnecessary-pass,1,0, , , , , , , , 
tensorflow_transform\saved\saved_transform_io.py,R0912, too-many-branches,1,0, , , , , , , , 
tensorflow_transform\saved\saved_transform_io.py,W0107,unnecessary-pass,1,0, , , , , , , , 
tensorflow_transform\beam\analyzer_impls.py,C0302, too-many-lines,1,0, , , , , , , , 
tensorflow_transform\analyzers.py,C0302, too-many-lines,1,0, , , , , , , , 
tensorflow_transform\analyzers.py,R0912, too-many-branches,1,0, , , , , , , , 
tensorflow_transform\analyzers.py,R0916, too-many-boolean-expressions,1,0, , , , , , , , 
tensorflow_transform\tf_metadata\__init__.py,R0801, duplicate-code,35,0, , , , , , , , 
