path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
csunplugged\resources\management\commands\makeresources.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\at_a_distance\migrations\0005_auto_20220726_0020.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\at_a_distance\settings.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\at_a_distance\views.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\generators\BinaryCardsResourceGenerator.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0017_auto_20170227_0254.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\utils\group_lessons_by_age.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\management\commands\makeresourcethumbnails.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\topics\urls.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\classic\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0047_auto_20170507_2105.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0103_auto_20220519_2311.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\at_home\management\commands\loadactivities.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\generators\BinaryCardsSmallResourceGenerator.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0036_auto_20170327_0229.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0037_auto_20170327_0231.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0046_glossarydefinition.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0057_auto_20170529_2311.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\at_home\migrations\0001_initial.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\resources\migrations\0021_auto_20220520_0454.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\plugging_it_in\views.py,C0325, superfluous-parens,1,1, , , , , , , , 
csunplugged\resources\generators\SortingNetworkCardsResourceGenerator.py,R0912, too-many-branches,1,1, , , , , , , , 
csunplugged\general\migrations\0002_alter_generalpage_id.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\management\commands\_LessonsLoader.py,R0915, too-many-statements,1,1, , , , , , , , 
csunplugged\topics\migrations\0064_auto_20170611_0904.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\utils\TranslatableModelLoader.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\classic\migrations\0004_auto_20220520_0454.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\generators\TreasureIslandResourceGenerator.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\migrations\0011_auto_20171126_2001.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0015_auto_20170226_2133.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\at_a_distance\migrations\0003_supportingresource.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\utils\BaseLoader.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0045_auto_20170502_2111.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0040_auto_20170403_0635.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\utils\TranslatableModel.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\config\settings\local.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\topics\management\commands\_TopicLoader.py,R0915, too-many-statements,1,1, , , , , , , , 
csunplugged\topics\migrations\0089_auto_20180118_2004.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0102_auto_20220516_0335.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\management\commands\_CurriculumIntegrationsLoader.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\utils\TextBoxDrawer.py,W0718, broad-exception-caught,1,1, , , , , , , , 
csunplugged\resources\utils\resize_encode_resource_images.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0068_lesson_programming_challenges_temp.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\utils\get_options_html.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0110_curriculumintegration_unique_topic_integration_number.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\management\commands\_LearningOutcomesLoader.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0034_auto_20170327_0200.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0038_auto_20170327_0813.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\general\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\classic\migrations\0003_alter_classicpage_id.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\utils\resource_parameters.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\config\settings\production.py,W0401, wildcard-import,1,1, , , , , , , , 
csunplugged\topics\management\commands\_ProgrammingChallengesLoader.py,R0912, too-many-branches,1,1, , , , , , , , 
csunplugged\resources\migrations\0010_auto_20171121_2304.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\at_home\migrations\0009_auto_20200602_0234.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\resources\migrations\0020_alter_resource_id.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\management\commands\_ProgrammingChallengesStructureLoader.py,R0912, too-many-branches,1,1, , , , , , , , 
csunplugged\topics\migrations\0001_initial.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0033_curriculumarea_parent.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\utils\resource_pdf_cache.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\generators\BinaryToAlphabetResourceGenerator.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\resources\utils\BaseResourceGenerator.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0054_lesson_classroom_resources.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0019_programmingexercisedifficulty.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\management\commands\_GlossaryTermsLoader.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\general\migrations\0003_auto_20220520_0501.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0032_curriculumintegration_prerequisite_lessons.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\management\commands\loadtopics.py,R0912, too-many-branches,1,1, , , , , , , , 
csunplugged\topics\models.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\at_home\migrations\0013_auto_20220520_0506.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\migrations\0018_auto_20200511_0227.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0060_auto_20170530_2141.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0111_curriculumintegration_unique_topic_integration_slug.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\resources\generators\RunLengthEncodingResourceGenerator.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0021_programmingexercise_difficulty.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\at_a_distance\migrations\0001_initial.py,C0301, line-too-long,2,1, , , , , , , , 
csunplugged\topics\migrations\0070_auto_20170612_1927.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\topics\migrations\0073_auto_20170612_2352.py,C0301, line-too-long,1,1, , , , , , , , 
csunplugged\utils\LoaderFactory.py,C0301, line-too-long,1,1, , , , , , , , 
