path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
python\algorithms\searching\binary.py,C0325, superfluous-parens,2,1, , , , , , , , 
python\leetcode\easy\ex0000_0100\ex0069.py,C0301, line-too-long,1,1, , , , , , , , 
python\structures\queue.py,W0107,unnecessary-pass,1,1, , , , , , , , 
python\leetcode\easy\ex0101_0200\ex0121.py,C0301, line-too-long,2,1, , , , , , , , 
python\structures\stack.py,W0107,unnecessary-pass,1,1, , , , , , , , 
python\leetcode\easy\ex0000_0100\ex0009.py,C0301, line-too-long,1,1, , , , , , , , 
python\leetcode\easy\ex0101_0200\ex0141.py,C0301, line-too-long,1,1, , , , , , , , 
python\leetcode\medium\ex0101_0200\ex0209.py,C0301, line-too-long,1,1, , , , , , , , 
python\leetcode\easy\ex0401_0500\ex0412.py,C0325, superfluous-parens,2,1, , , , , , , , 
python\leetcode\easy\ex0000_0100\ex0035.py,C0301, line-too-long,1,1, , , , , , , , 
python\leetcode\easy\ex0000_0100\ex0021.py,C0301, line-too-long,1,1, , , , , , , , 
python\leetcode\easy\ex0801_0900\ex0860.py,C0301, line-too-long,1,1, , , , , , , , 
python\leetcode\medium\ex0000_0100\ex0028.py,C0301, line-too-long,3,0, , , , , , , , 
python\leetcode\easy\ex0000_0100\ex0027.py,C0301, line-too-long,3,0, , , , , , , , 
python\leetcode\easy\ex0401_0500\ex0412.py,C0301, line-too-long,1,0, , , , , , , , 
python\leetcode\easy\ex0801_0900\ex0860.py,C0325, superfluous-parens,1,0, , , , , , , , 
