path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\westpa\tools\selected_segs.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\work_managers\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\cli\tools\w_postanalysis_matrix.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\work_managers\mpi.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\westpa\core\trajectory.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\work_managers\zeromq\core.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
src\westpa\work_managers\zeromq\node.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\core\binning\mab.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\oldtools\aframe\plotting.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\cli\tools\w_red.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\cli\core\w_run.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\core\progress.py,R0911, too-many-return-statements,1,1, , , , , , , , 
src\westpa\westext\adaptvoronoi\adaptVor_driver.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\cli\tools\w_stateprobs.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\westext\stringmethod\string_method.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\core\kinetics\rate_averaging.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\cli\tools\ploterr.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\core\textio.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\cli\core\w_succ.py,C0301, line-too-long,2,1, , , , , , , , 
src\westpa\tools\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\tools\core.py,W0107,unnecessary-pass,2,1, , , , , , , , 
src\westpa\tools\binning.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\tools\dtypes.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\oldtools\aframe\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\cli\tools\w_kinetics.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\oldtools\aframe\data_reader.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\westext\wess\wess_driver.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\cli\tools\plothist.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\westext\hamsm_restarting\restart_driver.py,C0302, too-many-lines,1,1, , , , , , , , 
src\westpa\cli\tools\w_crawl.py,C0301, line-too-long,2,1, , , , , , , , 
src\westpa\core\we_driver.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\cli\core\w_init.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\core\sim_manager.py,R0915, too-many-statements,2,1, , , , , , , , 
src\westpa\cli\tools\w_eddist.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\westpa\core\propagators\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\cli\tools\w_postanalysis_reweight.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\core\_rc.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\oldtools\stats\edfs.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\work_managers\core.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\westpa\work_managers\threads.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\core\binning\mab_manager.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\cli\core\w_states.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\core\binning\__init__.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\work_managers\zeromq\work_manager.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\oldtools\aframe\output.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\core\kinetics\matrates.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\westext\stringmethod\string_driver.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\oldtools\cmds\w_ttimes.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\_version.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\westext\hamsm_restarting\example_overrides.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\oldtools\stats\accumulator.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\tools\plot.py,R0912, too-many-branches,2,1, , , , , , , , 
src\westpa\work_managers\zeromq\worker.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\westpa\core\propagators\executable.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\westext\weed\BinCluster.py,C0301, line-too-long,2,1, , , , , , , , 
src\westpa\tools\kinetics_tool.py,R0912, too-many-branches,1,1, , , , , , , , 
src\westpa\cli\tools\w_assign.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\westpa\core\reweight\matrix.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\cli\tools\w_reweight.py,W0125,using-constant-test,1,1, , , , , , , , 
src\westpa\westext\weed\weed_driver.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\core\binning\binless_manager.py,R0915, too-many-statements,1,1, , , , , , , , 
src\westpa\fasthist\__init__.py,C0301, line-too-long,2,1, , , , , , , , 
src\westpa\oldtools\miscfn.py,C0301, line-too-long,2,1, , , , , , , , 
src\westpa\westext\stringmethod\fourier_fitting.py,C0301, line-too-long,2,1, , , , , , , , 
src\westpa\work_managers\environment.py,C0301, line-too-long,1,1, , , , , , , , 
src\westpa\core\data_manager.py,W0104, pointless-statement,1,1, , , , , , , , 
src\westpa\core\h5io.py,R0915, too-many-statements,1,1, , , , , , , , 
