path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
src\xia2\Wrappers\Dials\Index.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\Wrappers\EMBL\Best.py,R0915, too-many-statements,2,1, , , , , , , , 
src\xia2\cli\add_free_set.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\cli\index.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\xia2\Schema\Interfaces\FrameProcessor.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\xia2\Wrappers\CCP4\Mtz2various.py,W0718, broad-exception-caught,2,1, , , , , , , , 
src\xia2\Modules\Integrater\XDSIntegrater.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\cli\multiplex.py,R0915, too-many-statements,1,1, , , , , , , , 
src\xia2\Applications\xia2_main.py,C0301, line-too-long,1,1, , , , , , , , 
src\xia2\Wrappers\Dials\Spotfinder.py,R0915, too-many-statements,1,1, , , , , , , , 
src\xia2\Interfaces\ISPyB\ISPyBXmlHandler.py,R0912, too-many-branches,2,1, , , , , , , , 
src\xia2\Modules\Scaler\DialsScaler.py,C0302, too-many-lines,1,1, , , , , , , , 
src\xia2\Decorators\CCP4Decorator.py,R0915, too-many-statements,1,1, , , , , , , , 
src\xia2\Handlers\CIF.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\cli\compare_merging_stats.py,R0912, too-many-branches,2,1, , , , , , , , 
src\xia2\Driver\ScriptDriver.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\xia2\Modules\Indexer\XDSIndexer.py,R0912, too-many-branches,2,1, , , , , , , , 
src\xia2\Modules\AnalyseMyIntensities.py,R0915, too-many-statements,1,1, , , , , , , , 
src\xia2\Modules\SSX\data_reduction_programs.py,C0302, too-many-lines,1,1, , , , , , , , 
src\xia2\Modules\SSX\xia2_ssx.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\xia2\Wrappers\CCP4\Aimless.py,R0912, too-many-branches,2,1, , , , , , , , 
src\xia2\Wrappers\XDS\XDSIntegrate.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\Handlers\Files.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\xia2\Handlers\Phil.py,C0302, too-many-lines,1,1, , , , , , , , 
src\xia2\Wrappers\Dials\Integrate.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\Schema\XCrystal.py,R0915, too-many-statements,1,1, , , , , , , , 
src\xia2\Wrappers\XDS\XDSIdxrefHelpers.py,W0718, broad-exception-caught,1,1, , , , , , , , 
src\xia2\cli\plot_multiplicity.py,C0301, line-too-long,1,1, , , , , , , , 
src\xia2\Wrappers\XDS\XScaleR.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\Modules\MultiCrystalAnalysis.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\DriverExceptions\NotAvailableError.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\xia2\Wrappers\XDS\XDSIntegrateHelpers.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\Modules\Refiner\DialsRefiner.py,R0915, too-many-statements,1,1, , , , , , , , 
src\xia2\Modules\Scaler\CCP4ScalerHelpers.py,C0325, superfluous-parens,1,1, , , , , , , , 
src\xia2\Wrappers\XDS\XScaleHelpers.py,R0912, too-many-branches,1,1, , , , , , , , 
src\xia2\Driver\QSubDriver.py,W0107,unnecessary-pass,1,1, , , , , , , , 
src\xia2\Wrappers\Dials\TwoThetaRefine.py,R0915, too-many-statements,1,1, , , , , , , , 
