path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
kvmagent\ansible\kvm.py,R0912, too-many-branches,1,1, , , , , , , , 
appbuildsystem\appbuildsystem\appbuildsystem.py,W0718, broad-exception-caught,1,1, , , , , , , , 
cephprimarystorage\cephprimarystorage\cephagent.py,C0325, superfluous-parens,1,1, , , , , , , , 
cephprimarystorage\ansible\cephp.py,W0401, wildcard-import,1,1, , , , , , , , 
zstacklib\zstacklib\utils\ovs.py,C0302, too-many-lines,1,1, , , , , , , , 
bm-instance-agent\bm_instance_agent\conf\api.py,C0325, superfluous-parens,1,1, , , , , , , , 
promtail\ansible\promtail.py,W0401, wildcard-import,1,1, , , , , , , , 
zstacklib\zstacklib\utils\multipath.py,R0912, too-many-branches,1,1, , , , , , , , 
appbuildsystem\ansible\appbuild.py,W0401, wildcard-import,1,1, , , , , , , , 
kvmagent\kvmagent\plugins\kvm_v2v_plugin.py,R0915, too-many-statements,1,1, , , , , , , , 
zstacklib\zstacklib\utils\ceph.py,R0912, too-many-branches,1,1, , , , , , , , 
zstacklib\zstacklib\utils\misc.py,W0718, broad-exception-caught,1,1, , , , , , , , 
zstacklib\zstacklib\utils\shell.py,C0301, line-too-long,1,1, , , , , , , , 
kvmagent\kvmagent\plugins\ha_plugin.py,W0301, unnecessary-semicolon,2,1, , , , , , , , 
zstacklib\zstacklib\iptables\iptables.py,W0401, wildcard-import,2,1, , , , , , , , 
zstacklib\zstacklib\utils\ip.py,R0912, too-many-branches,1,1, , , , , , , , 
zstacklib\zstacklib\utils\iproute.py,R0912, too-many-branches,1,1, , , , , , , , 
bm-instance-agent\bm_instance_agent\systems\linux\driver.py,W0718, broad-exception-caught,2,1, , , , , , , , 
appliancevm\ansible\zstack-appliancevm-bootstrap.py,W0718, broad-exception-caught,1,1, , , , , , , , 
kvmagent\kvmagent\plugins\bmv2_gateway_agent\volume\helper.py,R1719, simplifiable-if-expression,1,1, , , , , , , , 
virtualrouter\ansible\virtualrouter.py,W0401, wildcard-import,1,1, , , , , , , , 
iscsifilesystemagent\ansible\iscsi.py,C0301, line-too-long,2,1, , , , , , , , 
zstacklib\zstacklib\utils\log_tree.py,R0915, too-many-statements,1,1, , , , , , , , 
zstacklib\zstacklib\utils\sanlock.py,C0301, line-too-long,2,1, , , , , , , , 
zstacklib\zstacklib\utils\concurrentlog_handler.py,C0301, line-too-long,1,1, , , , , , , , 
zstacklib\zstacklib\utils\ipset.py,C0301, line-too-long,1,1, , , , , , , , 
zstacklib\zstacklib\iptables\matches.py,C0325, superfluous-parens,1,1, , , , , , , , 
bm-instance-agent\bm_instance_agent\api\utils.py,W0718, broad-exception-caught,1,1, , , , , , , , 
bm-instance-agent\bm_instance_agent\manager.py,C0301, line-too-long,1,1, , , , , , , , 
apibinding\apibinding\api.py,C0325, superfluous-parens,2,1, , , , , , , , 
cephbackupstorage\ansible\cephb.py,W0401, wildcard-import,1,1, , , , , , , , 
virtualrouter\virtualrouter\plugins\dns.py,W0301, unnecessary-semicolon,2,1, , , , , , , , 
