path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
zyngine\ctrldev\zynthian_ctrldev_launchpad_x.py,C0301, line-too-long,2,1, , , , , , , , 
zyngine\zynthian_chain_manager.py,C0302, too-many-lines,1,1, , , , , , , , 
zyngine\zynthian_engine_puredata.py,R1702, too-many-nested-blocks,2,1, , , , , , , , 
zyngine\zynthian_engine.py,R1703, simplifiable-if-statement,2,1, , , , , , , , 
zyngine\zynthian_engine_jalv.py,R1719, simplifiable-if-expression,2,1, , , , , , , , 
zyngui\zynthian_gui_processor_options.py,W0718, broad-exception-caught,1,1, , , , , , , , 
zyngine\ctrldev\zynthian_ctrldev_akai_apc_key25_mk2.py,W0718, broad-exception-caught,1,1, , , , , , , , 
zyngui\zynthian_gui_keybinding.py,W0718, broad-exception-caught,2,1, , , , , , , , 
zyngui\zynthian_gui_splash.py,C0301, line-too-long,2,1, , , , , , , , 
zyngui\zynthian_gui_wifi.py,C0301, line-too-long,1,1, , , , , , , , 
zyngine\zynthian_engine_alsa_mixer.py,R1703, simplifiable-if-statement,1,1, , , , , , , , 
zyngui\zynthian_gui_save_preset.py,W0718, broad-exception-caught,1,1, , , , , , , , 
zyngine\zynthian_signal_manager.py,W0718, broad-exception-caught,2,1, , , , , , , , 
zyngui\zynthian_gui_bank.py,C0301, line-too-long,2,1, , , , , , , , 
zyngui\zynthian_gui_selector.py,R0915, too-many-statements,1,1, , , , , , , , 
zyngui\zynthian_gui_touchscreen_calibration.py,R1702, too-many-nested-blocks,1,1, , , , , , , , 
zyngui\zynthian_gui.py,C0302, too-many-lines,1,1, , , , , , , , 
zyngui\zynthian_gui_chain_menu.py,C0301, line-too-long,2,1, , , , , , , , 
zyngui\zynthian_widget_audioplayer.py,W0401, wildcard-import,1,1, , , , , , , , 
