path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
examples\oauth\config.py,C0301, line-too-long,2,1, , , , , , , , 
flask_appbuilder\baseviews.py,C0302, too-many-lines,1,1, , , , , , , , 
flask_appbuilder\security\mongoengine\models.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\extendsecurity2\app\models.py,W0718, broad-exception-caught,2,1, , , , , , , , 
flask_appbuilder\security\views.py,R0911, too-many-return-statements,1,1, , , , , , , , 
flask_appbuilder\security\registerviews.py,W0718, broad-exception-caught,2,1, , , , , , , , 
flask_appbuilder\upload.py,W0107,unnecessary-pass,2,1, , , , , , , , 
flask_appbuilder\security\sqla\models.py,W0718, broad-exception-caught,1,1, , , , , , , , 
flask_appbuilder\menu.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\masterdetail\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\mongo_extendedsecurity\app\mysecurity.py,C0301, line-too-long,1,1, , , , , , , , 
flask_appbuilder\base.py,R0915, too-many-statements,1,1, , , , , , , , 
examples\dash\app\Dashboard\Dash_App1.py,C0301, line-too-long,1,1, , , , , , , , 
examples\quickcharts2\build\lib\app\models.py,C0301, line-too-long,1,1, , , , , , , , 
flask_appbuilder\security\sqla\manager.py,W0125,using-constant-test,1,1, , , , , , , , 
bin\migrate_db_1.3.py,W0718, broad-exception-caught,2,1, , , , , , , , 
flask_appbuilder\api\__init__.py,W0718, broad-exception-caught,2,1, , , , , , , , 
examples\react-rest-api\app\api.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\quicksqlviews\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
flask_appbuilder\models\sqla\interface.py,C0302, too-many-lines,1,1, , , , , , , , 
examples\dash\app\views.py,C0301, line-too-long,2,1, , , , , , , , 
flask_appbuilder\models\sqla\filters.py,R0911, too-many-return-statements,1,1, , , , , , , , 
examples\dash\app\Dashboard\Dash_fun.py,C0301, line-too-long,1,1, , , , , , , , 
bin\db_create.py,C0301, line-too-long,1,1, , , , , , , , 
examples\extendsecurity\app\models.py,W0718, broad-exception-caught,2,1, , , , , , , , 
examples\quickhowto2\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
flask_appbuilder\models\group.py,W0107,unnecessary-pass,1,1, , , , , , , , 
flask_appbuilder\models\base.py,W0107,unnecessary-pass,1,1, , , , , , , , 
examples\factoryapp\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\related_fields\app\views.py,C0301, line-too-long,2,1, , , , , , , , 
flask_appbuilder\security\manager.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\user_registration\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
flask_appbuilder\models\mixins.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\quickmigrate\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
flask_appbuilder\forms.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\widgets\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
flask_appbuilder\console.py,W0107,unnecessary-pass,1,1, , , , , , , , 
flask_appbuilder\filters.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\quickcharts2\build\bdist.linux-i686\egg\app\models.py,C0301, line-too-long,1,1, , , , , , , , 
flask_appbuilder\cli.py,W0107,unnecessary-pass,1,1, , , , , , , , 
examples\quickhowto\app\views.py,W0718, broad-exception-caught,1,1, , , , , , , , 
examples\dash\app\Dashboard\Dash_App2.py,C0301, line-too-long,1,1, , , , , , , , 
