path,msg_id,msg,alerts,chosen,In which repository the modification was done?,In which pull request the modification was done?,Do you consider the removed alert harmful?,Why do you consider it harmful (or harmless)?,"What is the code quality (1 lowest, 10 best)? Code quality refers to the code prior to the pull request.",Why do you consider the code quality as such?,"What is the expected benefit(1 – negative, 5 – neutral, 10 – great)?",Why do you consider the pull request to improve the code (or not improve it)?
nss_cache\sources\httpsource.py,R0912, too-many-branches,1,1, , , , , , , , 
nss_cache\caches\caches.py,W0107,unnecessary-pass,1,1, , , , , , , , 
nss_cache\sources\ldapsource.py,C0302, too-many-lines,1,1, , , , , , , , 
nss_cache\command.py,R0912, too-many-branches,1,1, , , , , , , , 
nss_cache\caches\files.py,C0325, superfluous-parens,2,1, , , , , , , , 
nss_cache\sources\ldapsource.py,C0301, line-too-long,2,0, , , , , , , , 
nss_cache\sources\ldapsource.py,R0912, too-many-branches,6,0, , , , , , , , 
nss_cache\sources\ldapsource.py,R1702, too-many-nested-blocks,1,0, , , , , , , , 
nss_cache\sources\ldapsource.py,W0107,unnecessary-pass,1,0, , , , , , , , 
nss_cache\sources\ldapsource.py,W0718, broad-exception-caught,2,0, , , , , , , , 
nss_cache\util\__init__.py,R0801, duplicate-code,24,0, , , , , , , , 
nss_cache\error.py,W0107,unnecessary-pass,11,0, , , , , , , , 
