,msg_id,path,msg,modified_McCabe_max_diff,SLOC_diff,difficulty_diff,LLOC_diff,N1_diff,h2_diff,volume_diff,bugs_diff,calculated_length_diff,Single comments_diff,vocabulary_diff,h1_diff,Multi_diff,time_diff,Blank_diff,effort_diff,length_diff,McCabe_max_diff,LOC_diff,Comments_diff,N2_diff,McCabe_sum_diff
13,W0718,29,broad-exception-caught,0.4444444444444444,0.896551724137931,0.0,0.5862068965517241,0.0,0.0,0.0,0.0,0.0,-0.034482758620689655,0.0,0.0,0.0,0.0,-0.034482758620689655,0.0,0.0,0.14285714285714285,0.8275862068965517,-0.10344827586206896,0.0,0.14285714285714285
2,R0133,1,comparison-of-constants,,0.0,-0.6047619047619044,0.0,-1.0,-2.0,-26.627325893303464,-0.008875775297767896,-20.150591121342302,0.0,-3.0,-1.0,0.0,-41.83460477420783,0.0,-753.0228859357403,-3.0,0.0,0.0,0.0,-2.0,0.0
0,C0301,65,line-too-long,,1.6307692307692307,0.058056444052650015,0.15384615384615385,0.47692307692307695,0.9384615384615385,6.594549766341353,0.002198183255447116,4.079516592230998,0.07692307692307693,1.0769230769230769,0.13846153846153847,0.09230769230769231,1.5137622572209108,0.0,21.392160657756076,1.4307692307692308,0.0,1.8,0.12307692307692308,0.9538461538461539,0.0
10,W0104,1,pointless-statement,,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
9,R1719,15,simplifiable-if-expression,-1.0,0.0,0.04365079365079364,0.0,0.0,0.0,0.1741422545161754,5.80474181720599e-05,0.2600089686593378,0.0,0.06666666666666667,0.06666666666666667,0.0,1.1964378054801728,0.0,21.535880498643095,0.0,0.0,0.0,0.0,0.0,-1.1333333333333333
8,R1703,6,simplifiable-if-statement,-1.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,-0.2,-3.3333333333333335,0.0,0.0,-1.0
1,C0325,22,superfluous-parens,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,R0916,2,too-many-boolean-expressions,-1.0,1.5,-0.8505171299288947,2.0,-3.5,-4.5,-97.72986274730852,-0.03257662091576957,-40.47335596474886,0.0,-5.5,-1.0,0.0,11.739137858756408,0.0,-1998.326707286922,-12.0,0.0,1.5,0.0,-8.5,-3.0
4,R0912,43,too-many-branches,-8.30952380952381,2.7209302325581395,-0.312306311668543,2.3488372093023258,-0.7674418604651163,2.0930232558139537,-7.359510513440016,-0.0024531701711466717,16.574776989275286,-0.7441860465116279,2.1627906976744184,0.06976744186046512,-0.11627906976744186,-12.910953333470227,2.86046511627907,-300.26643892697274,-2.2790697674418605,-6.162790697674419,4.72093023255814,-1.186046511627907,-1.5116279069767442,-0.4186046511627907
7,R1702,8,too-many-nested-blocks,-10.125,3.625,-0.04841084944614077,2.5,0.125,1.5,6.014434812309709,0.0020048116041032713,11.451915731617756,-0.625,1.625,0.125,0.0,-7.273830248969733,0.625,-81.27818102582373,0.375,-5.5,3.625,-0.625,0.25,0.375
3,R0911,14,too-many-return-statements,-5.555555555555555,0.14285714285714285,-0.09130129517903185,-2.0,-3.4285714285714284,-3.357142857142857,-55.45201229274338,-0.018484004097581136,-19.051675164809733,-0.14285714285714285,-3.2142857142857144,0.14285714285714285,0.0,-3.477782450781902,-0.7142857142857143,-313.36965170066844,-9.785714285714286,-2.2857142857142856,-0.7142857142857143,-0.14285714285714285,-6.357142857142857,-2.5714285714285716
5,R0915,10,too-many-statements,-13.555555555555555,6.1,-0.17296543025484418,6.4,-0.7,0.3,-9.39949123187548,-0.0031331637439584907,3.110813842129173,-0.1,0.3,0.0,0.0,-15.28188200848829,5.4,-113.69724040183311,-2.1,-9.8,11.4,-1.0,-1.4,2.6
11,W0107,5,unnecessary-pass,,-1.2,0.0,-1.4,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,-1.8,0.0,0.0,-0.2
12,W0401,5,wildcard-import,,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
