,msg_id,path,msg,LLOC_diff,SLOC_diff,LOC_diff,McCabe_max_diff,N2_diff,N1_diff,McCabe_sum_diff
0,C0301,18,line-too-long,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,C0325,12,superfluous-parens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,R0911,2,too-many-return-statements,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,R0912,11,too-many-branches,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,R0915,3,too-many-statements,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,R0916,1,too-many-boolean-expressions,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,R1702,3,too-many-nested-blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,R1703,4,simplifiable-if-statement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,W0401,4,wildcard-import,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,W0718,11,broad-exception-caught,0.0,0.0,0.0,0.0,0.0,0.0,0.0
